jday_sn1,hour_sn1,minx_sn1,wsp_sn1,truewdir_sn1,Tsm_sn1,wu_cov_sn1,wv_cov_sn1,uv_cov_sn1,wT_cov_sn1,uT_cov_sn1,vT_cov_sn1,sigu_cov_sn1,sigv_cov_sn1,sigw_cov_sn1,sigT_cov_sn1
272,0,0,0.89681036,34.082655,23.880574,-0.066118789,-0.0024289724,0.02571527,0.0031973081,-0.0069941437,-0.0022988187,0.49699975,0.47068285,0.26266234,0.10357283
272,0,5,0.87772435,34.63422,23.66745,-0.050431723,0.00046262774,-0.0063439193,-0.0033957078,0.0098451241,0.0025500635,0.48344039,0.44529583,0.23123431,0.098006456
272,0,10,0.85460534,46.18889,23.55805,-0.059542807,-0.0047759687,0.01610585,-0.0096501294,0.027122644,0.0048525085,0.49900361,0.43177235,0.24948279,0.10891097
272,0,15,0.69490141,15.164476,23.42432,-0.021647243,0.0070742388,0.01075502,-0.0082514162,0.020168116,0.0091687743,0.34730637,0.30833987,0.18577576,0.13321459
272,0,20,0.61215787,39.959612,23.299402,-0.024026575,-0.0031997644,0.0049264909,-0.012291299,0.025085203,0.0059963675,0.3292565,0.27361069,0.17266519,0.15847027
272,0,25,0.42254956,42.257032,23.14727,-0.01647879,0.0013454612,0.012464064,-0.008815085,0.018934861,0.003222517,0.29644604,0.26030712,0.1518676,0.18435743
272,0,30,0.58085504,30.324901,23.106233,-0.023575253,0.0010477203,-0.0040880581,-0.013652537,0.030327331,0.0018602873,0.31300534,0.29648982,0.16491925,0.1848386
272,0,35,0.2573807,9.4859959,22.816469,-0.0032900041,0.0016365272,0.0066946166,-0.0062796941,0.012122521,-0.00093635447,0.15676194,0.17077687,0.083453909,0.22771974
272,0,40,0.56182802,349.72866,22.821791,-0.0041641373,0.002960711,-0.00031768987,-0.0090990885,0.040875404,-0.0088147437,0.24038488,0.1467437,0.086528153,0.2827086
272,0,45,0.29434928,337.93062,22.626098,-0.0013491169,-0.00049135661,0.0011981491,-0.0067383894,0.0075423355,-0.0034706427,0.14869719,0.14191404,0.075060292,0.30888218
272,0,50,0.40528552,345.78738,22.398287,-0.0031934648,0.0014006076,0.007847577,-0.010340988,0.036034395,0.0071226862,0.20547112,0.23423261,0.095063695,0.35055968
272,0,55,0.50747991,343.18169,22.625455,0.0011595064,0.0043182658,-0.0061323718,-0.0087223547,0.033266254,-0.02387307,0.23723311,0.19792872,0.10051482,0.37664024
272,1,0,0.31183032,310.03431,22.080888,0.0015041898,-0.0014209869,0.0036310159,-0.0069504779,-0.018943787,-0.063872511,0.16389487,0.23171685,0.070133673,0.53738773
272,1,5,0.63508318,281.37718,20.89676,-0.002897882,0.0020181931,0.0024596099,-0.0012446048,0.010781955,0.01007332,0.15863337,0.14585722,0.07421377,0.46251849
272,1,10,0.78691515,292.97817,20.251707,-0.0080803851,0.00070060756,0.0070770829,-0.010494502,0.027662247,0.0027545468,0.18384727,0.16155709,0.10493473,0.32280832
272,1,15,0.91832691,286.8521,19.966868,-0.0054865219,0.001911963,0.0023058872,-0.0091319357,0.023933108,0.00099252698,0.1664984,0.14235079,0.094206871,0.30470626
272,1,20,0.92627192,289.54385,19.824585,-0.01081593,0.002955588,0.0068382387,-0.01205851,0.041369481,0.01732268,0.24251017,0.19811751,0.12546726,0.32503856
272,1,25,0.9780162,300.30023,19.791486,-0.018295011,-0.0032576053,-0.0010908612,-0.016487939,0.03032919,0.036936356,0.23534805,0.34896751,0.16298242,0.29609332
272,1,30,0.96767253,302.74342,19.405476,-0.018408586,0.00029017272,-0.0081990921,-0.015657045,0.027395534,-0.0048336577,0.2446146,0.24118937,0.17498733,0.22709799
272,1,35,1.1408776,292.5096,19.227939,-0.017791329,0.0059496939,0.0080000807,-0.014527439,0.037515664,-7.3631983e-05,0.27640253,0.2453379,0.16733765,0.24703133
272,1,40,0.94254271,288.2557,19.050504,-0.010424411,0.0020534348,0.011208558,-0.013083582,0.040026483,0.015305386,0.22510226,0.19292289,0.1251212,0.30353115
272,1,45,1.0222888,298.75257,19.530169,-0.024963442,0.0016017689,0.010240068,-0.021447198,0.025110844,-0.015789597,0.3190313,0.29216566,0.18156061,0.4539097
272,1,50,1.0379214,302.25294,19.192518,-0.025264598,-0.0026743833,0.0011858348,-0.016584941,0.034595829,0.00044391695,0.28255005,0.26341054,0.19081173,0.24627853
272,1,55,1.3078205,292.85903,19.239945,-0.032638523,-0.00059688104,0.021121642,-0.02630465,0.071842138,0.028419785,0.34183896,0.29403478,0.21274085,0.35629902
272,2,0,1.5153076,291.59035,19.584945,-0.034401061,0.0066941132,0.017561532,-0.023565829,0.06014011,0.0093541316,0.3577275,0.29759403,0.21965674,0.27768509
272,2,5,1.3657213,292.21584,19.435825,-0.034157322,0.0013852837,0.020584518,-0.020091548,0.055609133,0.011426482,0.3472,0.28940271,0.2138285,0.26351183
272,2,10,1.3911614,291.8892,19.759511,-0.026800399,0.0050641995,0.0084709824,-0.021357844,0.054654864,-0.0025027696,0.32520797,0.27140575,0.18966227,0.29063885
