jday_sn2,hour_sn2,minx_sn2,wsp_sn2,truewdir_sn2,Tsm_sn2,wu_cov_sn2,wv_cov_sn2,uv_cov_sn2,wT_cov_sn2,uT_cov_sn2,vT_cov_sn2,sigu_cov_sn2,sigv_cov_sn2,sigw_cov_sn2,sigT_cov_sn2
272,0,0,2.1016201,33.244754,23.528448,-0.058988805,-0.0058209022,-0.064413572,0.01685157,-0.039194954,-0.021792808,0.68368547,0.63199045,0.31336806,0.10266175
272,0,5,2.0349294,34.541615,23.394624,-0.083758957,0.016193969,-0.049925596,0.01073736,-0.03043012,-0.0063988366,0.74598133,0.49442112,0.2972367,0.0730581
272,0,10,2.14373,39.746807,23.345353,-0.077831395,-0.019995113,0.1034722,0.011007227,-0.023576738,-0.016159716,0.70592186,0.58372596,0.32991467,0.075688234
272,0,15,1.4894488,20.401859,23.267979,-0.0059814264,-0.011768101,-0.078945704,-0.00096056152,-0.0092282701,0.0040479473,0.42503346,0.42856237,0.24381359,0.083581059
272,0,20,1.6219189,39.015949,23.262444,-0.027077769,0.0016284119,-0.008439589,-0.0019639481,-0.0066964789,-0.013332824,0.49859109,0.38125347,0.23316809,0.10663376
272,0,25,1.150106,40.305007,23.131837,-0.033771114,-0.003854593,0.03776713,-0.012031613,0.015327907,-0.0097987239,0.51279001,0.39104012,0.22478159,0.15370755
272,0,30,1.3495787,31.208466,23.107782,-0.022292206,0.001255395,-0.055100751,-0.0085581187,0.017812323,-0.0070108649,0.40118953,0.38628703,0.21292878,0.1386278
272,0,35,0.71721226,20.01779,22.979676,-0.0060814943,0.00369356,-0.0005054788,-0.007557369,0.0087425007,-0.008110765,0.22310285,0.26296478,0.15841976,0.17309903
272,0,40,0.77540016,355.53884,22.872201,-0.0054519641,0.0037993755,-0.028063346,-0.0061759076,0.036330972,-0.024902352,0.27724191,0.22318516,0.11685085,0.23640066
272,0,45,0.60287798,8.8715637,22.95207,-0.0060225426,0.0035108707,-0.00069851851,-0.0071777483,0.0076024427,-0.010823721,0.22411708,0.20704816,0.11985364,0.19112462
272,0,50,0.78216673,358.07221,22.742342,-0.0038589293,-0.0061646298,-0.0087895231,-0.010119027,0.028764938,0.0051260887,0.23033747,0.42536755,0.12225005,0.2971518
272,0,55,0.84216067,358.73133,22.922011,-0.0062887155,0.00024177617,0.010248023,-0.0074351651,0.03311246,-0.017870169,0.27016259,0.24001824,0.12984096,0.27522813
272,1,0,0.5035109,340.78577,22.702557,-0.00022015719,-0.0028362399,-0.022461995,-0.00038138437,0.016596251,-0.1065631,0.18496281,0.39641431,0.086655536,0.44555742
272,1,5,0.80312586,285.85494,22.049215,0.0025673284,0.0029572016,-0.00047820099,-0.0078292245,-0.044680537,0.0010570593,0.18412876,0.14168039,0.093283119,0.53019152
272,1,10,1.1954105,296.77222,21.478611,-7.3839948e-05,-0.00087849564,-0.020466067,-0.0042703543,-0.068956067,0.029013996,0.24353373,0.15200479,0.082356395,0.58469443
272,1,15,1.4995083,285.70298,21.08993,-0.0012025844,0.0017705931,-0.0068861968,-0.0028849252,0.0018841247,0.017784651,0.14108844,0.13440652,0.068516171,0.46402078
272,1,20,1.6406072,289.10692,20.974013,-0.0036286723,0.0046631091,-0.013315752,-0.0013346483,-0.0069420552,0.069755844,0.21981207,0.20210258,0.084102149,0.67423671
272,1,25,1.6796956,300.46069,20.688015,-0.0050767496,0.005754721,-0.029504691,-0.0012264665,-0.018831783,0.11105779,0.21696758,0.34861134,0.1018288,0.56165006
272,1,30,1.9287084,302.68541,20.106481,-0.0047955319,-0.00057116105,-0.011174111,-0.0099796238,0.032622181,0.005555286,0.22896559,0.16591597,0.11483364,0.45172726
272,1,35,2.0525665,293.55776,19.936923,-0.006245753,0.00091363483,-0.0054836354,-0.0088087876,0.062135211,0.0049261837,0.23142358,0.18772787,0.10722953,0.46224497
272,1,40,1.6221469,284.4042,20.236368,0.00063943843,-0.0010801343,-0.026829616,-0.011204691,-0.059204378,0.075702573,0.27120189,0.21749656,0.085114437,0.58311327
272,1,45,1.8404388,298.08541,20.345114,0.0086993657,0.0032202086,0.0024282804,-0.019631965,-0.027967751,0.0025862633,0.37774435,0.21946565,0.13975784,0.60903512
