    Alt_mean        Temp          Rh       Speed       PTemp         Dir          MR
        3.50       18.51       25.63        2.22       30.36      185.98        3.88
        8.50       18.40       25.77        1.45       30.33      196.25        3.88
       13.50       18.23       25.60        1.27       30.17      181.87        3.80
       18.50       18.16       25.80        1.42       30.15      185.75        3.81
       23.50       18.18       25.86        1.66       30.23      196.01        3.84
       28.50       18.13       26.27        1.48       30.20      181.18        3.89
       33.50       18.17       26.28        1.45       30.32      169.76        3.91
       38.50       18.12       26.33        1.37       30.31      169.43        3.91
       43.50       17.92       26.32        1.32       30.16      182.88        3.85
       48.50       17.87       26.17        1.10       30.17      183.00        3.82
       53.50       17.69       26.49        0.93       30.04      180.14        3.82
       58.50       17.82       26.65        1.53       30.16      207.63        3.87
       63.50       17.70       26.89        1.61       30.11      189.12        3.89
       68.50       17.66       26.99        1.55       30.15      180.40        3.91
       73.50       17.73       26.57        1.09       30.28      209.50        3.85
       78.50       17.53       26.35        0.59       30.07      213.00        3.75
       83.50       17.60       26.09        0.44       30.22      200.63        3.74
       88.50       17.63       26.08        0.47       30.32      168.50        3.75
       93.50       17.40       25.85        0.36       30.11      206.13        3.66
       98.50       17.57       25.87        0.20       30.27      185.95        3.70
      103.50       17.28       26.34        0.23       30.09      155.05        3.71
      108.50       17.38       26.55        0.30       30.27      173.17        3.77
      113.50       17.34       26.46        0.29       30.24      188.76        3.74
      118.50       17.11       26.66        0.18       30.08      260.61        3.72
      123.50       17.03       27.68        0.36       30.03      263.66        3.86
      128.50       17.14       27.74        0.67       30.19       16.89        3.90
      133.50       17.04       27.46        1.18       30.14       83.65        3.83
      138.50       16.96       27.79        0.97       30.09      145.56        3.86
      143.50       16.90       28.30        0.87       30.08      239.37        3.92
      148.50       16.92       28.36        1.06       30.17       12.46        3.95
      153.50       17.04       27.66        1.00       30.34       14.90        3.87
      158.50       16.85       27.43        0.86       30.20        9.93        3.79
      163.50       16.90       27.43        0.98       30.30      354.81        3.80
      168.50       16.76       27.80        0.99       30.22      305.21        3.83
      173.50       16.92       27.69        0.95       30.42        7.98        3.85
      178.50       16.89       27.51        1.14       30.45        4.06        3.82
      183.50       16.81       27.36        1.10       30.39      340.75        3.77
      188.50       16.63       27.70        1.09       30.28        1.56        3.78
      193.50       16.67       27.90        1.42       30.37        1.42        3.82
      198.50       16.55       28.01        1.41       30.31       25.29        3.81
      203.50       16.51       28.26        1.48       30.32       24.22        3.85
      208.50       16.46       28.37        1.27       30.31       21.29        3.85
