    Alt_mean        Temp          Rh       Speed       PTemp         Dir          MR
        3.50        8.85       69.97        1.53       20.26      125.46        5.74
        8.50        8.96       68.66        2.03       20.44      127.03        5.67
       13.50        9.19       65.87        2.75       20.73      128.22        5.53
       18.50        9.77       61.23        3.77       21.38      139.70        5.35
       23.50       10.44       57.65        4.23       22.14      140.17        5.27
       28.50       12.06       53.88        4.00       23.88      156.62        5.49
       33.50       13.13       49.70        3.36       25.04      170.38        5.44
       38.50       13.97       46.80        2.97       25.95      168.49        5.40
       43.50       14.32       45.38        2.55       26.38      182.50        5.37
       48.50       14.56       44.96        2.41       26.66      189.27        5.40
       53.50       14.64       44.09        2.40       26.83      189.56        5.34
       58.50       14.65       43.66        2.42       26.89      191.47        5.29
       63.50       14.64       43.22        2.52       26.94      183.83        5.24
       68.50       14.93       42.18        2.83       27.24      183.90        5.20
       73.50       15.27       40.79        3.21       27.68      186.75        5.15
       78.50       15.63       39.19        3.23       28.07      189.50        5.06
       83.50       15.71       38.64        3.18       28.22      190.92        5.03
       88.50       15.72       38.13        3.01       28.28      191.33        4.96
       93.50       15.70       37.90        2.89       28.36      192.58        4.94
       98.50       15.70       37.82        2.83       28.38      188.67        4.92
      103.50       15.70       37.77        2.80       28.40      190.17        4.91
      108.50       15.82       36.77        3.06       28.56      183.86        4.83
      113.50       15.80       36.56        3.37       28.66      178.22        4.80
      118.50       15.81       36.41        3.50       28.69      177.07        4.78
      123.50       15.80       36.26        3.52       28.72      181.47        4.76
      128.50       15.79       36.20        3.64       28.77      176.33        4.75
      133.50       15.76       36.10        3.81       28.78      173.63        4.73
      138.50       15.76       35.99        3.83       28.82      168.81        4.72
      143.50       15.77       35.87        3.73       28.90      168.04        4.72
      148.50       15.81       35.73        3.80       29.00      172.73        4.71
      153.50       15.78       35.70        3.79       29.02      174.71        4.69
      158.50       15.79       35.70        3.81       29.03      172.70        4.69
      163.50       15.71       35.71        3.81       29.04      176.10        4.69
      168.50       15.64       35.79        3.89       29.04      177.17        4.68
      173.50       15.65       35.82        4.00       29.10      174.57        4.68
      178.50       15.64       35.80        4.01       29.10      177.50        4.68
      183.50       15.60       35.84        4.04       29.12      178.06        4.68
      188.50       15.55       35.90        4.15       29.12      176.37        4.67
      193.50       15.51       35.90        4.14       29.15      175.21        4.67
      198.50       15.43       36.00        4.13       29.11      177.43        4.66
      203.50       15.41       36.02        4.14       29.15      177.00        4.66
      208.50       15.40       36.09        4.22       29.19      174.42        4.66
      213.50       15.35       36.15        4.26       29.18      175.47        4.66
      218.50       15.30       36.18        4.20       29.20      174.17        4.65
      223.50       15.29       36.22        4.12       29.21      172.17        4.65
      228.50       15.24       36.25        4.07       29.20      173.75        4.65
      233.50       15.20       36.36        4.19       29.21      171.71        4.65
      238.50       15.14       36.45        4.25       29.21      170.67        4.65
      243.50       15.10       36.55        4.20       29.21      170.00        4.66
      248.50       15.09       36.66        4.23       29.22      169.42        4.66
      253.50       15.04       36.71        4.27       29.25      169.17        4.65
      258.50       14.99       36.73        4.30       29.28      171.83        4.65
      263.50       14.95       36.74        4.23       29.25      167.67        4.64
      268.50       14.90       36.86        4.07       29.28      168.04        4.65
      273.50       14.88       36.99        4.03       29.29      170.53        4.65
      278.50       14.81       37.16        3.97       29.28      167.97        4.66
      283.50       14.78       37.26        3.91       29.29      170.16        4.66
      288.50       14.70       37.33        3.90       29.30      168.42        4.67
      293.50       14.70       37.31        3.96       29.31      166.07        4.65
      298.50       14.64       37.42        3.94       29.30      168.77        4.65
      303.50       14.61       37.43        3.88       29.31      165.93        4.65
      308.50       14.58       37.51        3.85       29.31      168.60        4.65
      313.50       14.54       37.59        3.87       29.33      167.88        4.65
      318.50       14.48       37.68        3.82       29.33      168.42        4.65
      323.50       14.42       37.74        3.82       29.32      165.02        4.64
      328.50       14.39       37.84        3.65       29.31      167.10        4.64
      333.50       14.34       37.91        3.84       29.33      169.02        4.64
      338.50       14.29       38.04        4.02       29.35      165.77        4.65
      343.50       14.23       38.22        4.00       29.33      165.08        4.65
      348.50       14.20       38.48        3.93       29.34      168.14        4.68
      353.50       14.16       38.63        3.96       29.35      169.09        4.68
      358.50       14.09       38.71        4.00       29.34      169.25        4.68
      363.50       14.05       38.84        3.96       29.34      164.97        4.68
      368.50       14.00       38.95        3.91       29.32      168.35        4.68
      373.50       13.96       39.03        3.89       29.34      168.75        4.69
      378.50       13.91       39.15        3.84       29.34      164.48        4.69
      383.50       13.86       39.26        3.80       29.32      168.37        4.69
      388.50       13.81       39.35        3.74       29.33      165.50        4.68
      393.50       13.77       39.44        3.79       29.34      165.81        4.68
      398.50       13.71       39.53        3.78       29.36      168.94        4.69
      403.50       13.67       39.59        3.80       29.35      164.53        4.68
      408.50       13.66       39.68        3.80       29.37      166.58        4.69
