    Alt_mean        Temp          Rh       Speed       PTemp         Dir          MR
        3.50        8.22       68.30        2.58       19.71      132.53        5.37
        8.50        8.47       66.58        3.62       20.01      139.94        5.32
       13.50        8.71       64.59        4.43       20.31      139.00        5.25
       18.50        9.04       61.99        5.33       20.71      146.95        5.15
       23.50        9.22       60.32        6.08       20.92      146.25        5.08
       28.50        9.67       58.41        6.37       21.45      138.77        5.07
       33.50       10.53       54.88        7.67       22.40      139.63        5.05
       38.50       11.12       51.97        8.31       23.08      144.30        4.98
       43.50       11.61       50.46        8.82       23.61      156.26        5.00
       48.50       12.88       48.17        9.66       24.99      139.50        5.20
       53.50       14.07       43.36        9.99       26.28      143.00        5.05
       58.50       13.98       42.71        9.82       26.27      147.02        4.96
       63.50       14.36       41.95        9.62       26.66      144.31        4.99
       68.50       14.47       41.47        9.39       26.87      145.28        4.97
       73.50       14.53       41.12        9.07       26.97      146.17        4.96
       78.50       14.67       40.62        8.64       27.17      145.27        4.93
       83.50       14.67       40.32        8.75       27.20      143.50        4.91
       88.50       14.90       39.70        7.88       27.55      146.75        4.90
       93.50       15.01       39.20        7.61       27.67      149.02        4.88
       98.50       14.97       39.19        7.26       27.70      151.08        4.87
      103.50       15.05       38.96        6.59       27.81      162.33        4.86
      108.50       15.09       38.75        6.05       27.91      157.97        4.86
      113.50       14.99       38.80        6.68       27.89      156.22        4.84
      118.50       14.95       38.91        6.78       27.86      150.77        4.83
      123.50       14.96       38.91        6.60       27.94      153.43        4.85
      128.50       14.97       38.77        5.90       28.03      160.00        4.83
      133.50       14.93       38.85        5.63       27.99      160.47        4.83
      138.50       14.94       38.91        5.25       28.04      161.17        4.84
      143.50       14.83       38.91        5.67       28.01      157.51        4.82
      148.50       14.80       38.91        6.18       28.00      154.98        4.80
      153.50       14.77       38.92        6.03       28.02      157.97        4.80
      158.50       14.73       39.00        5.41       28.07      162.73        4.81
      163.50       14.69       39.09        5.50       28.07      166.42        4.80
      168.50       14.65       39.23        4.65       28.06      156.80        4.81
      173.50       14.67       39.29        4.42       28.13      160.17        4.82
      178.50       14.58       39.29        4.94       28.11      164.33        4.80
      183.50       14.52       39.40        4.71       28.08      161.82        4.80
      188.50       14.51       39.56        4.40       28.14      159.79        4.82
      193.50       14.50       39.62        4.59       28.14      163.51        4.82
      198.50       14.48       39.70        4.44       28.18      166.46        4.83
      203.50       14.45       39.81        4.09       28.21      164.27        4.84
      208.50       14.41       39.84        4.01       28.23      164.88        4.84
      213.50       14.40       39.86        3.98       28.27      168.38        4.84
      218.50       14.40       39.94        3.91       28.31      171.00        4.85
      223.50       14.34       40.01        3.79       28.30      169.92        4.84
      228.50       14.29       40.05        3.84       28.30      171.38        4.83
      233.50       14.31       40.08        3.95       28.32      171.83        4.83
      238.50       14.24       40.07        4.06       28.36      169.88        4.83
      243.50       14.25       39.99        4.07       28.43      165.83        4.82
      248.50       14.20       40.06        3.94       28.43      166.97        4.82
      253.50       14.24       39.99        3.71       28.49      166.38        4.83
      258.50       14.23       39.87        3.79       28.56      163.94        4.81
      263.50       14.24       39.73        3.90       28.60      162.40        4.80
      268.50       14.20       39.71        3.91       28.63      165.15        4.79
      273.50       14.13       39.77        4.03       28.60      163.33        4.78
      278.50       14.16       39.72        4.00       28.68      167.00        4.78
      283.50       14.10       39.77        3.90       28.66      166.88        4.77
      288.50       14.04       39.84        3.82       28.70      166.67        4.77
      293.50       14.00       39.91        3.71       28.69      167.56        4.77
      298.50       14.01       39.83        3.47       28.71      171.13        4.76
      303.50       13.99       39.81        3.29       28.74      173.96        4.76
      308.50       13.96       39.80        3.39       28.80      176.76        4.74
      313.50       13.97       39.64        3.49       28.82      177.69        4.73
      318.50       13.91       39.71        3.60       28.81      176.25        4.72
      323.50       13.82       39.84        3.68       28.80      176.62        4.72
      328.50       13.80       39.82        3.46       28.81      175.58        4.72
      333.50       13.80       39.76        3.55       28.85      177.43        4.70
      338.50       13.77       39.73        3.73       28.88      177.37        4.69
      343.50       13.73       39.79        3.80       28.89      178.32        4.69
      348.50       13.62       39.93        3.78       28.82      176.17        4.68
      353.50       13.65       39.79        3.87       28.90      174.60        4.68
      358.50       13.60       39.78        3.85       28.90      173.40        4.66
      363.50       13.59       39.87        3.86       28.90      175.17        4.66
      368.50       13.51       39.88        4.02       28.92      176.37        4.65
      373.50       13.49       39.90        4.09       28.92      176.08        4.65
      378.50       13.46       40.04        4.03       28.93      175.29        4.65
      383.50       13.40       39.98        4.05       28.94      176.67        4.64
      388.50       13.33       40.01        4.10       28.95      175.41        4.63
      393.50       13.35       40.02        4.35       29.00      175.48        4.63
      398.50       13.27       40.14        4.28       28.96      175.42        4.62
      403.50       13.21       40.25        4.23       28.99      174.20        4.63
      408.50       13.16       40.36        4.48       28.93      179.72        4.62
