    Alt_mean        Temp          Rh       Speed       PTemp         Dir          MR
        3.50        8.86       66.79        2.66       20.46      149.57        5.49
        8.50        9.08       65.73        3.28       20.74      148.91        5.49
       13.50        9.28       64.41        3.95       20.99      150.74        5.45
       18.50        9.48       63.07        5.29       21.27      151.25        5.41
       23.50        9.83       61.00        6.37       21.67      143.25        5.36
       28.50       10.02       59.55        6.80       21.92      151.44        5.31
       33.50       10.32       58.12        7.50       22.26      147.50        5.28
       38.50       10.28       57.85        7.72       22.32      146.39        5.25
       43.50       10.56       56.94        8.12       22.64      148.05        5.27
       48.50       11.01       55.34        9.07       23.16      147.97        5.28
       53.50       11.17       54.66        9.05       23.37      146.06        5.28
       58.50       11.49       53.07        9.27       23.76      147.29        5.23
       63.50       11.94       52.13        9.84       24.27      148.37        5.29
       68.50       12.04       51.48        9.94       24.45      144.14        5.27
       73.50       12.58       50.17       10.05       25.02      144.33        5.32
       78.50       12.84       48.80        9.94       25.37      144.91        5.27
       83.50       13.04       47.55        9.80       25.62      146.90        5.21
       88.50       13.05       47.36        9.73       25.70      146.00        5.20
       93.50       13.02       47.52        9.72       25.71      145.50        5.21
       98.50       12.98       47.56        9.62       25.75      144.05        5.21
      103.50       13.01       47.20        9.37       25.79      145.76        5.17
      108.50       13.00       47.15        9.46       25.86      146.67        5.17
      113.50       13.00       47.17        9.48       25.88      144.75        5.17
      118.50       12.95       47.02        9.34       25.90      143.48        5.14
      123.50       12.93       46.74        9.12       25.92      147.71        5.11
      128.50       12.93       46.34        9.11       25.99      144.90        5.07
      133.50       12.89       46.42        8.93       25.95      149.37        5.06
      138.50       12.89       46.14        8.97       26.03      149.24        5.04
      143.50       12.85       46.23        9.09       26.02      146.43        5.03
      148.50       12.80       46.25        9.14       26.08      146.56        5.03
      153.50       12.79       46.12        9.01       26.08      146.33        5.01
      158.50       12.91       45.59        8.66       26.25      150.25        5.00
      163.50       13.06       44.84        8.21       26.46      145.23        4.97
      168.50       13.07       44.59        7.85       26.53      153.28        4.94
      173.50       12.92       45.02        8.31       26.43      156.22        4.95
      178.50       12.97       44.68        7.85       26.53      147.93        4.93
      183.50       12.90       44.79        7.50       26.50      152.33        4.92
      188.50       12.97       44.61        7.32       26.64      152.42        4.93
      193.50       12.87       44.76        7.39       26.57      155.24        4.91
      198.50       12.93       44.55        7.25       26.71      153.88        4.91
      203.50       12.97       44.26        7.21       26.77      152.78        4.90
      208.50       12.97       44.20        7.11       26.83      159.53        4.89
      213.50       13.04       43.98        6.77       26.94      155.01        4.89
      218.50       13.01       43.79        6.66       26.97      151.67        4.86
      223.50       13.05       43.65        6.60       27.08      159.13        4.86
      228.50       13.07       43.43        6.10       27.14      164.57        4.85
      233.50       13.01       43.48        5.77       27.11      159.46        4.84
      238.50       13.01       43.35        5.70       27.19      160.29        4.83
      243.50       13.01       43.26        5.59       27.23      158.36        4.82
      248.50       13.03       43.11        5.42       27.30      159.43        4.81
      253.50       13.00       43.00        5.30       27.35      162.46        4.80
      258.50       13.01       42.75        4.90       27.40      163.79        4.77
      263.50       12.94       42.87        5.17       27.36      161.00        4.77
      268.50       12.95       42.81        4.90       27.41      163.17        4.76
      273.50       12.90       42.79        4.74       27.45      162.89        4.75
      278.50       12.96       42.39        4.46       27.55      164.79        4.73
      283.50       12.93       42.41        4.28       27.55      165.98        4.72
      288.50       12.96       42.25        4.36       27.60      162.48        4.71
      293.50       12.93       41.99        4.38       27.68      165.52        4.69
      298.50       12.95       41.81        3.74       27.72      162.79        4.67
      303.50       12.90       41.91        3.58       27.71      162.97        4.67
      308.50       12.80       42.19        3.19       27.66      163.58        4.67
      313.50       12.77       42.15        3.17       27.70      170.37        4.66
      318.50       12.94       41.15        2.88       27.94      174.35        4.60
      323.50       12.89       41.03        2.55       27.94      179.17        4.58
      328.50       12.84       41.10        2.65       27.92      176.83        4.57
      333.50       12.80       41.31        2.88       27.90      176.67        4.58
      338.50       12.76       41.33        2.69       27.94      173.63        4.58
      343.50       12.67       41.46        2.64       27.90      174.25        4.57
      348.50       12.62       41.67        2.70       27.87      178.20        4.57
      353.50       12.62       41.44        2.17       27.95      181.21        4.55
      358.50       12.58       41.51        2.30       27.95      182.11        4.55
      363.50       12.57       41.46        2.40       27.99      183.12        4.54
      368.50       12.53       41.55        2.40       27.99      184.80        4.54
      373.50       12.59       41.38        2.13       28.08      181.38        4.54
      378.50       12.56       41.33        1.89       28.13      178.52        4.53
      383.50       12.51       41.38        2.02       28.12      180.45        4.52
      388.50       12.46       41.46        2.23       28.12      181.92        4.52
      393.50       12.40       41.47        2.22       28.11      185.05        4.50
      398.50       12.45       41.27        2.04       28.23      178.25        4.50
      403.50       12.50       40.95        2.30       28.32      178.44        4.47
      408.50       12.49       40.84        2.28       28.35      180.97        4.46
      413.50       12.45       40.72        2.44       28.38      182.12        4.43
