    Alt_mean        Temp          Rh       Speed       PTemp         Dir          MR
        3.50        9.37       66.43        2.61       20.99      105.73        5.66
        8.50        9.80       64.52        3.79       21.48      127.37        5.65
       13.50        9.99       62.94        4.98       21.74      133.97        5.59
       18.50        9.97       62.60        5.53       21.73      126.36        5.55
       23.50       10.07       61.78        5.84       21.91      122.26        5.52
       28.50       10.65       60.48        6.75       22.58      130.42        5.62
       33.50       10.91       58.70        7.45       22.88      130.83        5.55
       38.50       10.78       58.35        7.90       22.78      126.01        5.48
       43.50       11.14       57.70        8.56       23.21      132.00        5.55
       48.50       12.00       54.90        9.59       24.20      130.00        5.60
       53.50       12.50       52.65        9.75       24.75      129.29        5.55
       58.50       12.79       50.68        9.51       25.10      131.33        5.45
       63.50       12.99       48.94        9.49       25.35      131.83        5.33
       68.50       13.06       48.54        9.59       25.49      130.88        5.31
       73.50       13.20       47.84        9.53       25.67      130.56        5.29
       78.50       13.30       47.04        9.26       25.84      134.53        5.24
       83.50       13.46       46.12        9.03       26.08      134.93        5.19
       88.50       13.51       45.21        8.71       26.20      134.07        5.12
       93.50       13.47       45.35        8.64       26.18      133.88        5.11
       98.50       13.50       45.10        8.67       26.22      134.67        5.09
      103.50       13.50       44.54        8.55       26.32      135.55        5.05
      108.50       13.57       44.03        8.42       26.42      136.83        5.00
      113.50       13.99       42.68        8.09       26.91      137.12        4.98
      118.50       13.98       42.29        8.25       26.92      141.38        4.94
      123.50       13.80       42.74        8.05       26.82      141.55        4.94
      128.50       13.99       42.25        7.72       27.05      149.02        4.95
      133.50       14.05       41.87        7.16       27.17      146.14        4.92
      138.50       14.01       41.63        7.42       27.20      151.42        4.89
      143.50       13.99       41.74        7.06       27.21      152.77        4.90
      148.50       14.03       41.57        6.65       27.33      156.36        4.89
      153.50       14.22       41.04        5.48       27.58      142.66        4.89
      158.50       14.23       40.69        5.03       27.63      148.56        4.85
      163.50       14.01       41.08        5.10       27.47      155.85        4.84
      168.50       14.03       41.27        5.31       27.53      145.13        4.87
      173.50       14.03       41.17        5.24       27.58      146.03        4.86
      178.50       14.17       40.68        3.82       27.77      147.42        4.85
      183.50       14.15       40.56        3.86       27.79      158.57        4.83
      188.50       14.08       40.71        4.24       27.78      164.06        4.83
      193.50       14.04       40.71        4.29       27.76      156.44        4.82
      198.50       14.05       40.65        4.04       27.85      148.37        4.82
      203.50       14.01       40.66        3.65       27.86      162.66        4.81
      208.50       13.98       40.73        3.52       27.85      167.95        4.81
      213.50       13.92       40.73        3.58       27.91      158.95        4.80
      218.50       13.99       40.58        3.61       27.98      176.27        4.80
      223.50       14.06       40.38        2.72       28.13      177.19        4.81
      228.50       13.84       40.71        2.79       27.94      175.73        4.78
      233.50       13.87       40.80        2.86       28.02      176.54        4.80
      238.50       13.80       40.85        2.69       27.99      157.60        4.79
      243.50       13.82       40.80        2.89       28.05      183.88        4.79
      248.50       13.80       40.75        2.73       28.10      178.08        4.78
      253.50       13.75       40.82        2.63       28.09      190.22        4.78
      258.50       13.70       40.89        2.86       28.10      188.87        4.78
      263.50       13.67       40.96        2.88       28.08      187.24        4.77
      268.50       13.61       41.04        2.82       28.10      193.51        4.77
      273.50       13.57       41.13        2.93       28.10      205.17        4.77
      278.50       13.48       41.22        3.39       28.08      189.99        4.75
      283.50       13.44       41.39        3.09       28.09      199.12        4.76
      288.50       13.41       41.52        2.26       28.11      209.73        4.77
      293.50       13.36       41.65        2.39       28.08      219.04        4.77
      298.50       13.36       41.61        2.59       28.12      216.92        4.77
      303.50       13.41       41.26        2.60       28.26      215.00        4.75
      308.50       13.31       41.47        2.70       28.20      205.88        4.75
      313.50       13.43       41.01        2.79       28.35      210.27        4.73
      318.50       13.49       40.51        2.78       28.49      219.09        4.69
      323.50       13.45       40.56        2.72       28.49      214.18        4.69
      328.50       13.41       40.60        2.88       28.50      214.51        4.69
      333.50       13.40       40.60        3.12       28.52      215.67        4.68
      338.50       13.35       40.60        3.31       28.55      215.03        4.68
      343.50       13.32       40.62        3.25       28.58      213.71        4.67
      348.50       13.27       40.70        3.24       28.57      218.46        4.67
      353.50       13.20       40.82        3.36       28.54      204.88        4.66
      358.50       13.17       40.96        3.29       28.57      212.42        4.67
      363.50       13.11       41.08        3.29       28.57      214.63        4.68
      368.50       13.05       41.18        3.24       28.55      212.04        4.67
      373.50       13.07       41.11        3.28       28.61      212.76        4.67
      378.50       12.93       41.52        3.31       28.52      215.35        4.67
      383.50       12.82       41.83        3.46       28.46      213.47        4.68
      388.50       12.82       41.77        3.63       28.52      216.70        4.68
      393.50       12.82       41.67        3.47       28.55      216.22        4.67
      398.50       12.80       41.83        3.48       28.58      209.67        4.67
      403.50       12.77       41.72        3.22       28.59      212.39        4.66
