    Alt_mean        Temp          Rh       Speed       PTemp         Dir          MR
        3.50        8.15       67.99        2.92       19.62      127.04        5.32
        8.50        8.28       67.96        2.41       19.78      136.26        5.36
       13.50        8.80       65.13        3.62       20.37      140.46        5.33
       18.50        9.19       62.89        4.41       20.83      144.29        5.28
       23.50        9.41       61.69        5.14       21.12      144.04        5.27
       28.50       10.40       58.23        6.20       22.19      148.38        5.32
       33.50       10.44       57.41        6.75       22.29      147.81        5.26
       38.50       12.39       53.74        8.32       24.37      148.14        5.61
       43.50       12.89       51.60        8.75       24.91      144.81        5.56
       48.50       13.27       49.78        9.08       25.40      141.78        5.51
       53.50       13.36       49.15        9.17       25.55      144.60        5.48
       58.50       13.48       48.64        9.57       25.71      144.10        5.46
       63.50       13.68       47.86       10.05       25.95      139.12        5.45
       68.50       14.02       46.58       10.20       26.36      137.72        5.42
       73.50       14.32       45.40        9.80       26.75      141.86        5.39
       78.50       14.57       44.45        9.45       27.03      140.58        5.36
       83.50       14.61       43.79        9.06       27.15      145.19        5.32
