    Alt_mean        Temp          Rh       Speed       PTemp         Dir          MR
        3.50       17.70       30.80       11.87       29.41      326.75        4.49
        8.50       17.43       30.58        2.75       29.22      317.99        4.39
       13.50       17.30       30.36        2.34       29.09      330.41        4.32
       18.50       17.23       30.54        2.40       29.10      334.88        4.32
       23.50       17.17       30.79        2.97       29.05      291.60        4.35
       28.50       17.10       30.92        3.18       29.00      286.57        4.34
       33.50       17.03       31.15        3.33       29.01      282.57        4.37
       38.50       17.05       31.27        3.05       29.09      287.74        4.38
       43.50       17.02       31.35        3.18       29.11      308.93        4.40
       48.50       16.95       31.32        3.27       29.12      337.51        4.38
       53.50       16.84       31.40        3.35       29.03      301.73        4.36
       58.50       16.80       31.60        3.38       29.02      309.75        4.38
       63.50       16.83       31.83        4.15       29.10      319.50        4.43
       68.50       16.74       31.95        4.41       29.06      323.88        4.42
       73.50       16.70       32.08        4.84       29.10      326.54        4.43
       78.50       16.70       32.29        4.87       29.13      331.42        4.46
       83.50       16.68       32.23        4.29       29.17        1.03        4.45
       88.50       16.51       31.94        4.72       29.02      345.13        4.36
       93.50       16.52       32.20        4.95       29.10      341.59        4.40
       98.50       16.43       32.10        5.07       29.03      343.00        4.36
      103.50       16.38       32.20        5.01       29.00      342.14        4.35
      108.50       16.27       32.11        5.06       28.98      334.00        4.31
      113.50       16.18       32.15        5.10       28.93      335.34        4.30
      118.50       16.20       32.35        5.10       29.00      354.08        4.33
      123.50       16.13       32.41        4.92       28.99      353.20        4.32
      128.50       16.09       32.46        4.81       29.00      338.00        4.32
      133.50       16.02       32.50        4.12       28.96      344.07        4.30
      138.50       15.99       32.45        4.63       28.98      346.17        4.29
      143.50       15.93       32.51        4.30       29.00      334.07        4.29
      148.50       15.88       32.69        4.41       28.98      345.85        4.30
      153.50       15.84       32.66        4.66       29.00      351.00        4.29
      158.50       15.80       32.59        4.57       29.03      349.55        4.27
      163.50       15.90       31.74        5.04       29.16      354.10        4.17
      168.50       15.90       31.00        4.95       29.20      351.75        4.06
      173.50       15.85       30.62        3.60       29.22      353.58        4.00
      178.50       15.83       31.12        4.59       29.24      359.07        4.07
      183.50       15.78       30.98        4.91       29.24      355.87        4.03
      188.50       15.72       31.29        4.43       29.24      356.67        4.06
      193.50       15.62       31.92        4.44       29.18      356.50        4.12
      198.50       15.53       32.63        4.37       29.10      352.58        4.20
      203.50       15.37       33.33        3.07       29.02      350.15        4.27
      208.50       15.33       33.53        3.66       29.00      351.25        4.28
      213.50       15.24       33.69        4.21       28.98      358.33        4.28
      218.50       15.18       33.80        4.10       28.95        2.42        4.28
      223.50       15.18       33.80        3.56       28.99        2.23        4.27
      228.50       15.10       33.90        3.55       28.99      353.76        4.27
      233.50       15.06       33.91        3.83       28.97      352.45        4.26
      238.50       15.00       33.92        4.15       28.99      351.73        4.25
      243.50       14.94       34.05        4.17       28.97      349.04        4.25
      248.50       14.89       33.90        3.80       28.96      349.00        4.22
      253.50       14.93       33.73        3.91       29.06      345.83        4.21
      258.50       14.93       33.87        4.67       29.10      346.58        4.23
      263.50       14.85       33.61        3.62       29.08      349.18        4.17
      268.50       14.82       33.80        3.85       29.09      347.92        4.19
      273.50       14.79       34.05        3.56       29.09      334.48        4.22
      278.50       14.73       34.05        3.47       29.11      327.00        4.21
      283.50       14.70       34.11        3.96       29.11      329.65        4.20
      288.50       14.64       34.30        4.07       29.09      331.58        4.21
      293.50       14.56       34.46        4.45       29.09      326.49        4.22
      298.50       14.49       34.70        4.47       29.04      328.00        4.23
      303.50       14.45       34.76        4.12       29.05      332.18        4.23
      308.50       14.44       34.73        3.74       29.07      335.38        4.22
      313.50       14.36       34.94        4.62       29.07      345.33        4.23
      318.50       14.36       34.72        3.93       29.13      342.04        4.20
      323.50       14.40       33.92        4.09       29.21      357.70        4.11
      328.50       14.39       33.17        4.25       29.26      354.23        4.00
      333.50       14.37       32.86        3.92       29.30      346.16        3.96
      338.50       14.31       33.13        4.17       29.26      344.10        3.98
      343.50       14.06       34.93        4.21       29.06      344.17        4.15
      348.50       13.99       35.80        3.48       29.02      335.22        4.24
      353.50       14.00       35.77        3.18       29.11      335.03        4.25
      358.50       13.99       35.88        3.44       29.12      315.99        4.26
      363.50       13.94       35.91        3.44       29.13      309.71        4.26
      368.50       13.91       35.98        3.35       29.12      316.45        4.25
      373.50       13.87       36.08        3.64       29.15      318.40        4.26
      378.50       13.81       36.19        3.85       29.15      325.10        4.26
      383.50       13.77       36.22        3.80       29.15      311.55        4.25
      388.50       13.72       36.27        3.53       29.17      318.70        4.25
      393.50       13.68       36.22        3.53       29.19      317.04        4.23
      398.50       13.62       36.02        3.51       29.20      315.09        4.19
      403.50       13.59       35.95        3.56       29.19      321.85        4.17
      408.50       13.57       36.05        3.78       29.20      325.07        4.18
