    Alt_mean        Temp          Rh       Speed       PTemp         Dir          MR
        3.50       11.27       54.94        4.69       22.99      140.55        5.30
        8.50       11.28       54.42        5.60       23.04      143.09        5.26
       13.50       11.27       54.32        6.20       23.12      146.57        5.26
       18.50       11.31       54.26        7.20       23.20      169.89        5.26
       23.50       11.30       53.88        6.73       23.24      144.26        5.23
       28.50       11.25       53.91        7.51       23.24      147.70        5.22
       33.50       11.25       53.75        8.18       23.29      149.74        5.20
       38.50       11.20       53.90        7.83       23.27      142.67        5.20
       43.50       11.15       53.99        7.78       23.32      144.16        5.21
       48.50       11.22       53.60        8.79       23.42      144.58        5.19
       53.50       11.36       52.67        9.43       23.61      149.44        5.14
       58.50       11.17       53.43        9.02       23.44      142.28        5.16
       63.50       11.38       52.51        9.96       23.69      141.59        5.14
       68.50       11.25       52.93        9.83       23.64      150.04        5.14
       73.50       11.34       52.29       10.00       23.79      144.25        5.12
       78.50       11.61       51.35       10.29       24.12      142.67        5.11
       83.50       11.60       51.28       10.89       24.18      143.01        5.11
       88.50       11.92       49.98       11.38       24.56      141.28        5.09
       93.50       12.47       47.92       11.16       25.16      142.25        5.06
       98.50       12.77       46.57       10.95       25.54      141.88        5.03
      103.50       12.81       45.90       10.58       25.62      143.73        4.97
      108.50       12.98       44.99       10.44       25.86      145.93        4.92
      113.50       13.00       44.72       10.27       25.92      146.50        4.91
      118.50       12.99       44.56       10.23       25.95      145.28        4.88
      123.50       12.96       44.49       10.35       26.00      145.78        4.87
      128.50       12.91       44.47       10.36       26.01      149.13        4.86
      133.50       12.91       44.47       10.52       26.03      146.50        4.85
      138.50       12.87       44.49       10.48       26.06      147.81        4.85
      143.50       12.85       44.47       10.50       26.07      144.45        4.84
      148.50       12.81       44.47       10.37       26.10      147.17        4.84
      153.50       12.80       44.42       10.37       26.13      146.48        4.83
      158.50       12.89       44.10       10.19       26.29      145.16        4.84
      163.50       12.80       44.24       10.11       26.25      152.98        4.82
      168.50       12.90       44.05       10.09       26.38      145.56        4.82
      173.50       13.07       43.20        9.85       26.64      155.24        4.80
      178.50       13.13       42.82        9.68       26.75      154.85        4.77
      183.50       13.21       42.43        9.16       26.89      151.31        4.76
      188.50       13.19       42.36        9.02       26.90      152.33        4.75
      193.50       13.22       42.20        8.91       26.96      154.72        4.74
      198.50       13.24       41.96        8.54       27.05      153.62        4.72
      203.50       13.26       41.80        8.08       27.11      158.32        4.71
      208.50       13.34       41.37        7.81       27.23      159.18        4.69
      213.50       13.26       41.39        8.10       27.23      159.07        4.67
      218.50       13.31       41.07        7.77       27.39      155.57        4.66
