    Alt_mean        Temp          Rh       Speed       PTemp         Dir          MR
        3.50        8.38       66.12        3.59       19.96      147.93        5.25
        8.50        8.36       65.91        3.61       20.02      142.50        5.24
       13.50        8.63       64.87        4.29       20.33      152.34        5.24
       18.50        8.66       63.92        4.89       20.44      148.00        5.19
       23.50        9.16       61.53        6.15       21.02      145.84        5.17
       28.50        9.15       60.96        6.39       21.07      144.11        5.13
       33.50        9.32       60.19        7.11       21.30      144.54        5.12
       38.50        9.51       59.11        7.56       21.53      144.20        5.10
       43.50        9.85       57.71        8.16       21.93      146.31        5.09
       48.50       10.02       57.22        8.73       22.13      140.93        5.11
       53.50       10.47       55.72        9.38       22.67      143.48        5.13
       58.50       10.99       53.63        9.82       23.26      147.48        5.12
       63.50       11.62       51.63       10.73       23.98      144.67        5.14
       68.50       12.54       48.65       10.68       24.98      149.35        5.15
       73.50       12.87       47.15       10.50       25.37      156.40        5.10
       78.50       13.02       46.21       10.29       25.58      148.89        5.05
       83.50       13.08       45.67       10.21       25.70      143.23        5.02
       88.50       13.28       44.99        9.87       25.96      157.89        5.02
       93.50       13.37       44.49        9.08       26.09      144.84        4.99
       98.50       13.56       43.82        9.11       26.36      145.39        4.98
      103.50       13.41       43.98        8.44       26.28      157.38        4.95
      108.50       13.47       43.77        8.25       26.36      147.08        4.95
      113.50       13.59       43.23        7.75       26.56      155.82        4.93
      118.50       13.66       43.03        7.37       26.65      159.15        4.93
      123.50       13.66       42.84        7.56       26.72      157.85        4.91
      128.50       13.61       42.85        7.21       26.69      148.68        4.89
      133.50       13.55       42.98        6.72       26.72      155.55        4.90
      138.50       13.57       42.80        6.96       26.78      152.00        4.89
      143.50       13.46       43.06        6.56       26.68      157.21        4.88
      148.50       13.43       43.14        6.54       26.75      154.78        4.89
      153.50       13.34       43.36        6.58       26.68      148.92        4.88
      158.50       13.48       42.86        6.17       26.89      157.95        4.88
      163.50       13.58       42.41        6.00       27.01      151.30        4.86
      168.50       13.45       42.68        5.15       26.95      143.62        4.85
      173.50       13.38       42.85        5.89       26.95      151.21        4.85
      178.50       13.45       42.54        5.79       27.06      160.93        4.85
      183.50       13.49       42.29        5.15       27.16      146.54        4.83
      188.50       13.51       42.22        4.05       27.20      159.61        4.83
      193.50       13.38       42.50        4.64       27.13      157.14        4.82
      198.50       13.27       42.68        4.53       27.08      158.53        4.82
      203.50       13.42       42.40        3.87       27.28      160.27        4.83
      208.50       13.46       42.10        3.26       27.37      164.94        4.81
      213.50       13.41       42.11        3.46       27.37      168.67        4.80
      218.50       13.34       42.16        3.25       27.34      163.96        4.79
      223.50       13.24       42.45        3.67       27.28      159.01        4.79
      228.50       13.22       42.62        3.36       27.32      167.94        4.80
      233.50       13.25       42.63        3.25       27.35      170.50        4.81
      238.50       13.21       42.61        2.94       27.42      180.99        4.81
      243.50       13.28       42.31        3.21       27.51      180.00        4.80
      248.50       13.23       42.38        3.00       27.53      176.45        4.79
      253.50       13.19       42.42        3.05       27.54      173.93        4.79
      258.50       13.22       42.32        3.11       27.63      182.61        4.79
      263.50       13.20       42.20        3.29       27.70      184.75        4.78
      268.50       13.16       42.27        3.52       27.68      190.46        4.77
      273.50       13.17       42.23        3.58       27.74      194.40        4.77
      278.50       13.17       42.04        3.51       27.81      195.20        4.75
      283.50       13.05       42.32        3.34       27.73      193.17        4.75
      288.50       13.13       42.10        3.16       27.86      196.88        4.75
      293.50       13.22       41.67        2.89       27.99      189.87        4.74
      298.50       13.13       41.84        2.90       27.95      192.60        4.73
      303.50       13.13       41.77        3.09       28.00      186.17        4.73
      308.50       13.17       41.44        3.39       28.10      178.79        4.70
      313.50       13.11       41.43        3.33       28.11      180.22        4.69
      318.50       13.13       41.35        3.25       28.14      186.18        4.69
      323.50       13.12       41.24        3.40       28.22      188.21        4.67
      328.50       13.09       41.21        3.48       28.19      188.44        4.66
      333.50       13.03       41.38        3.38       28.18      188.63        4.66
      338.50       13.00       41.36        3.37       28.20      190.88        4.65
      343.50       12.98       41.35        3.40       28.21      188.29        4.65
      348.50       12.93       41.38        3.41       28.28      184.83        4.64
      353.50       12.91       41.39        3.32       28.29      185.43        4.64
      358.50       12.84       41.51        3.18       28.26      186.83        4.64
      363.50       12.84       41.56        3.06       28.30      185.10        4.64
      368.50       12.79       41.59        2.93       28.32      179.67        4.64
      373.50       12.70       41.72        2.92       28.30      177.48        4.63
      378.50       12.70       41.77        3.09       28.31      178.57        4.63
      383.50       12.67       41.77        3.22       28.33      180.22        4.62
      388.50       12.62       41.81        3.18       28.31      182.36        4.62
      393.50       12.60       41.92        3.14       28.33      180.37        4.62
      398.50       12.56       41.99        3.23       28.36      182.78        4.62
      403.50       12.50       42.02        3.33       28.37      181.04        4.61
      408.50       12.48       42.12        3.33       28.38      184.17        4.61
