    Alt_mean        Temp          Rh       Speed       PTemp         Dir          MR
        3.50       12.93       53.17        0.86       24.51      184.86        5.72
        8.50       14.71       46.24        1.89       26.42      208.87        5.56
       13.50       16.27       37.78        2.32       28.07      206.74        5.04
       18.50       16.68       35.32        2.45       28.55      208.05        4.84
       23.50       16.73       34.58        2.55       28.67      209.74        4.76
       28.50       16.78       34.09        2.69       28.77      210.75        4.70
       33.50       16.79       34.02        2.81       28.81      208.62        4.70
       38.50       16.73       33.95        2.92       28.81      206.92        4.69
       43.50       16.80       33.32        3.00       28.90      202.07        4.61
       48.50       16.80       32.85        3.08       29.00      194.79        4.55
       53.50       16.88       32.55        3.08       29.14      193.37        4.54
       58.50       16.90       32.43        3.12       29.21      192.47        4.53
       63.50       16.90       32.34        3.20       29.25      189.61        4.52
       68.50       16.89       32.31        3.21       29.28      186.78        4.52
       73.50       16.89       32.31        3.23       29.30      188.75        4.51
       78.50       16.81       32.44        3.20       29.31      188.60        4.52
       83.50       16.77       32.44        3.20       29.33      188.20        4.51
       88.50       16.73       32.51        3.11       29.33      191.27        4.51
       93.50       16.70       32.59        3.03       29.31      189.31        4.51
       98.50       16.69       32.67        3.01       29.38      192.53        4.51
      103.50       16.64       32.70        2.99       29.39      191.51        4.52
      108.50       16.60       32.74        2.91       29.39      188.49        4.51
      113.50       16.55       32.81        2.80       29.40      189.15        4.52
      118.50       16.50       32.87        2.90       29.42      189.00        4.51
      123.50       16.50       32.91        2.84       29.40      188.92        4.51
      128.50       16.41       32.94        2.86       29.41      189.08        4.50
      133.50       16.39       33.00        2.81       29.40      188.00        4.50
      138.50       16.32       33.06        2.84       29.42      185.60        4.49
      143.50       16.29       33.15        2.80       29.40      190.63        4.50
      148.50       16.30       33.20        2.80       29.40      188.00        4.50
      153.50       16.20       33.29        2.87       29.40      190.54        4.49
      158.50       16.16       33.34        2.79       29.43      186.30        4.49
      163.50       16.10       33.42        2.73       29.41      189.17        4.49
      168.50       16.02       33.48        2.79       29.42      188.56        4.48
      173.50       15.99       33.58        2.71       29.41      187.85        4.49
      178.50       15.95       33.70        2.70       29.40      188.50        4.48
      183.50       15.90       33.70        2.77       29.43      188.63        4.49
      188.50       15.87       33.75        2.91       29.44      189.52        4.48
      193.50       15.84       33.77        2.92       29.47      188.00        4.48
      198.50       15.78       33.86        2.88       29.44      188.83        4.47
      203.50       15.71       33.90        2.81       29.45      188.80        4.47
      208.50       15.69       33.96        2.68       29.45      188.33        4.46
      213.50       15.60       34.03        2.72       29.44      190.39        4.46
      218.50       15.60       34.07        2.82       29.42      190.17        4.45
      223.50       15.55       34.12        2.90       29.49      191.33        4.45
      228.50       15.50       34.19        2.90       29.49      190.25        4.45
      233.50       15.48       34.23        2.83       29.50      189.56        4.45
      238.50       15.42       34.33        2.84       29.47      192.10        4.45
      243.50       15.39       34.38        2.71       29.53      187.78        4.45
      248.50       15.34       34.49        2.68       29.50      190.97        4.45
      253.50       15.28       34.58        2.73       29.49      191.17        4.44
      258.50       15.25       34.62        2.83       29.50      191.20        4.44
      263.50       15.17       34.72        2.97       29.47      190.83        4.43
      268.50       15.14       34.79        2.92       29.50      191.48        4.43
      273.50       15.09       34.92        2.85       29.50      188.37        4.44
      278.50       15.04       34.95        2.73       29.50      187.73        4.44
      283.50       15.00       35.07        2.66       29.50      187.37        4.44
      288.50       14.98       35.05        2.66       29.50      190.45        4.43
      293.50       14.91       35.08        2.70       29.50      188.28        4.42
      298.50       14.88       35.20        2.64       29.50      191.07        4.42
      303.50       14.80       35.33        2.70       29.50      193.23        4.42
      308.50       14.76       35.42        2.68       29.50      191.73        4.43
      313.50       14.70       35.48        2.74       29.50      189.29        4.42
      318.50       14.70       35.39        2.62       29.55      189.38        4.41
      323.50       14.63       35.40        2.58       29.52      188.50        4.39
      328.50       14.63       35.53        2.45       29.54      193.84        4.40
      333.50       14.58       35.55        2.34       29.57      188.98        4.40
      338.50       14.52       35.72        2.17       29.53      193.39        4.40
      343.50       14.47       35.81        2.02       29.56      190.67        4.40
      348.50       14.41       35.87        2.02       29.56      190.53        4.40
      353.50       14.38       35.89        1.93       29.56      190.33        4.39
      358.50       14.30       35.99        1.88       29.55      192.33        4.39
      363.50       14.26       36.08        1.99       29.54      191.25        4.39
      368.50       14.24       36.16        2.25       29.57      191.63        4.39
      373.50       14.15       36.19        2.34       29.53      195.58        4.37
      378.50       14.15       36.25        2.36       29.59      192.63        4.38
      383.50       14.10       36.34        2.27       29.56      193.56        4.37
      388.50       14.08       36.50        2.17       29.59      191.78        4.38
      393.50       14.00       36.59        2.11       29.55      193.00        4.38
      398.50       13.92       36.68        2.13       29.55      190.37        4.38
      403.50       13.85       36.75        2.17       29.55      194.17        4.37
      408.50       13.85       36.79        2.19       29.56      196.47        4.37
      413.50       13.79       36.80        2.46       29.59      195.48        4.35
