    Alt_mean        Temp          Rh       Speed       PTemp         Dir          MR
        3.50       15.30       43.95        0.69       27.02      209.27        5.52
        8.50       16.54       38.13        1.28       28.36      203.77        5.17
       13.50       17.43       34.06        1.72       29.35      198.50        4.90
       18.50       17.56       32.78        1.85       29.54      196.12        4.76
       23.50       17.68       31.96        1.91       29.69      195.58        4.67
       28.50       17.68       31.70        1.87       29.74      197.62        4.63
       33.50       17.64       31.53        1.72       29.78      195.23        4.61
       38.50       17.61       31.44        1.73       29.80      200.11        4.59
       43.50       17.60       31.44        1.74       29.80      203.17        4.59
       48.50       17.62       31.44        1.81       29.87      207.54        4.60
       53.50       17.58       31.49        1.81       29.89      206.37        4.59
       58.50       17.51       31.49        1.74       29.86      205.63        4.57
       63.50       17.49       31.48        1.84       29.89      206.53        4.57
       68.50       17.45       31.45        1.90       29.90      207.75        4.55
       73.50       17.38       31.43        1.86       29.90      203.89        4.54
       78.50       17.36       31.50        1.73       29.90      203.98        4.54
       83.50       17.30       31.55        1.70       29.90      204.67        4.54
       88.50       17.25       31.61        1.69       29.89      205.52        4.53
       93.50       17.20       31.70        1.71       29.90      205.12        4.54
       98.50       17.16       31.77        1.71       29.90      201.18        4.54
      103.50       17.11       31.82        1.69       29.92      203.77        4.53
      108.50       17.10       31.90        1.70       29.93      203.83        4.54
      113.50       16.98       32.05        1.73       29.90      201.85        4.53
      118.50       16.93       32.16        1.69       29.88      205.08        4.54
      123.50       16.89       32.25        1.68       29.87      205.35        4.53
      128.50       16.80       32.26        1.80       29.80      199.83        4.52
      133.50       16.77       32.36        1.69       29.85      196.73        4.52
      138.50       16.70       32.42        1.60       29.84      196.49        4.51
      143.50       16.67       32.52        1.50       29.84      198.50        4.52
      148.50       16.61       32.53        1.50       29.85      193.83        4.51
      153.50       16.57       32.55        1.57       29.86      188.63        4.50
      158.50       16.52       32.71        1.54       29.88      194.56        4.51
      163.50       16.50       32.75        1.50       29.88      197.37        4.51
      168.50       16.42       32.84        1.51       29.85      200.70        4.51
      173.50       16.40       32.90        1.58       29.88      200.52        4.51
      178.50       16.34       33.01        1.52       29.90      202.57        4.52
      183.50       16.30       33.05        1.63       29.90      203.17        4.52
      188.50       16.27       33.08        1.70       29.89      198.87        4.51
      193.50       16.24       33.10        1.70       29.90      200.48        4.50
      198.50       16.19       33.21        1.61       29.90      205.01        4.50
      203.50       16.13       33.25        1.61       29.89      204.40        4.50
      208.50       16.10       33.31        1.59       29.91      204.31        4.50
