    Alt_mean        Temp          Rh       Speed       PTemp         Dir          MR
        3.50        9.63       64.66        3.56       21.29      139.54        5.60
        8.50        9.75       62.62        3.97       21.45      148.78        5.47
       13.50        9.81       61.69        4.90       21.59      141.65        5.42
       18.50        9.92       60.86        6.05       21.72      152.66        5.38
       23.50       10.01       60.21        7.01       21.90      143.02        5.36
       28.50       10.02       59.87        6.97       21.94      135.56        5.33
       33.50       10.22       58.95        7.88       22.16      152.36        5.32
       38.50       10.45       57.94        8.48       22.46      144.08        5.32
       43.50       10.66       56.53        9.29       22.75      141.17        5.27
       48.50       11.28       54.29       10.01       23.46      142.35        5.27
       53.50       11.53       52.67       10.65       23.77      145.42        5.22
       58.50       11.81       51.40       10.83       24.11      147.47        5.18
       63.50       11.91       50.92       11.19       24.24      145.83        5.16
       68.50       12.19       49.91       11.38       24.63      144.21        5.17
       73.50       12.70       48.45       10.75       25.20      143.00        5.19
       78.50       12.73       48.15       10.79       25.28      143.25        5.17
       83.50       13.01       46.35       10.47       25.62      143.38        5.07
       88.50       13.10       45.54       10.49       25.75      146.88        5.01
       93.50       13.04       45.55       10.45       25.75      144.90        5.00
       98.50       13.11       45.23       10.29       25.85      149.63        4.98
      103.50       13.00       45.58       10.16       25.81      145.07        5.00
      108.50       13.01       45.69       10.11       25.86      144.37        5.01
      113.50       13.00       45.39        9.92       25.90      145.92        4.97
      118.50       13.05       44.88       10.01       25.98      145.08        4.93
      123.50       13.03       44.65       10.20       26.02      146.00        4.91
      128.50       12.94       44.74       10.11       26.02      150.25        4.90
      133.50       13.04       44.34       10.05       26.16      145.75        4.89
      138.50       13.39       43.38        9.31       26.53      144.75        4.88
      143.50       13.31       43.21        9.40       26.54      153.00        4.85
      148.50       13.32       43.26        9.40       26.56      150.25        4.85
      153.50       13.44       42.72        8.94       26.77      157.39        4.84
      158.50       13.61       41.76        8.81       27.00      150.51        4.79
      163.50       13.36       42.47        8.67       26.82      147.17        4.80
      168.50       13.46       42.16        8.71       26.93      155.43        4.79
      173.50       13.76       40.80        7.68       27.30      158.95        4.73
      178.50       13.50       41.58        8.07       27.10      155.80        4.75
      183.50       13.31       41.99        8.24       26.96      156.50        4.74
      188.50       13.30       42.07        7.73       26.98      157.04        4.74
      193.50       13.47       41.50        7.48       27.22      156.23        4.74
      198.50       13.66       40.67        6.99       27.46      163.32        4.70
      203.50       13.64       40.47        6.78       27.47      163.53        4.67
      208.50       13.56       40.69        6.49       27.45      164.66        4.68
      213.50       13.60       40.63        6.73       27.53      158.67        4.68
      218.50       13.66       40.14        6.13       27.67      163.21        4.65
      223.50       13.74       39.68        5.48       27.77      163.00        4.62
      228.50       13.73       39.48        5.47       27.83      163.46        4.60
      233.50       13.72       39.24        4.74       27.89      160.40        4.58
      238.50       13.57       39.66        5.06       27.79      162.43        4.58
      243.50       13.61       39.45        5.06       27.86      164.96        4.57
      248.50       13.53       39.63        4.99       27.84      166.85        4.57
      253.50       13.54       39.49        4.69       27.88      166.18        4.56
      258.50       13.51       39.38        4.82       27.93      161.75        4.54
      263.50       13.57       39.02        4.22       28.05      174.40        4.52
      268.50       13.58       38.64        3.86       28.08      169.57        4.47
      273.50       13.54       38.63        3.60       28.11      165.55        4.46
      278.50       13.52       38.59        3.43       28.11      168.80        4.44
      283.50       13.49       38.53        3.25       28.16      172.00        4.43
      288.50       13.40       38.67        3.53       28.12      164.22        4.43
      293.50       13.33       38.94        3.77       28.09      168.83        4.44
      298.50       13.41       38.40        2.96       28.22      174.42        4.40
      303.50       13.41       38.18        2.77       28.24      169.39        4.37
      308.50       13.36       38.26        2.97       28.27      171.48        4.37
      313.50       13.25       38.50        3.07       28.20      166.17        4.36
      318.50       13.14       38.84        3.30       28.15      170.67        4.37
      323.50       13.18       38.73        3.07       28.22      171.92        4.37
      328.50       13.12       38.63        2.79       28.22      176.08        4.35
      333.50       13.15       38.24        2.54       28.30      170.46        4.31
      338.50       13.16       37.94        2.33       28.35      177.08        4.27
      343.50       13.12       37.95        2.32       28.39      175.91        4.27
      348.50       13.09       37.93        2.26       28.39      174.22        4.26
      353.50       13.02       37.92        2.27       28.36      177.23        4.24
      358.50       12.98       38.08        2.36       28.39      181.75        4.25
      363.50       12.93       38.13        2.38       28.42      178.54        4.25
      368.50       12.97       37.97        2.44       28.47      181.27        4.23
      373.50       12.91       38.07        2.41       28.46      176.83        4.23
      378.50       12.88       38.09        2.37       28.47      174.63        4.23
      383.50       12.87       37.93        2.11       28.52      170.83        4.21
      388.50       12.90       37.54        1.93       28.61      169.26        4.17
      393.50       12.98       37.07        1.99       28.71      164.56        4.13
      398.50       12.91       37.08        2.28       28.71      163.62        4.12
      403.50       12.87       37.16        2.52       28.73      165.80        4.12
      408.50       12.81       37.35        2.68       28.70      165.52        4.13
      413.50       12.74       37.50        2.69       28.70      159.79        4.13
      418.50       12.69       37.73        3.07       28.69      156.72        4.14
