    Alt_mean        Temp          Rh       Speed       PTemp         Dir          MR
        3.50        7.91       72.76        2.00       19.30      140.94        5.59
        8.50        8.41       69.68        2.56       19.88      152.83        5.54
       13.50        8.97       66.18        3.94       20.51      159.69        5.47
       18.50        9.21       63.75        5.13       20.84      161.33        5.37
       23.50        9.72       61.54        5.71       21.39      151.41        5.35
       28.50       10.04       59.83        6.38       21.76      150.29        5.32
       33.50       10.85       56.74        7.24       22.66      151.71        5.34
       38.50       12.00       52.80        8.39       23.93      152.62        5.37
       43.50       13.20       48.61        9.26       25.20      154.00        5.35
       48.50       14.00       44.80        9.37       26.12      152.88        5.20
       53.50       14.20       43.17        8.97       26.36      154.67        5.07
       58.50       14.28       42.07        8.72       26.50      154.04        4.97
       63.50       14.25       41.98        8.69       26.50      153.00        4.95
       68.50       14.21       41.85        8.61       26.53      151.33        4.93
       73.50       14.20       41.80        8.50       26.57      154.62        4.92
       78.50       14.24       41.54        8.62       26.69      152.44        4.91
       83.50       14.45       41.03        8.33       26.95      153.67        4.92
       88.50       14.62       40.58        7.96       27.19      156.94        4.92
       93.50       14.77       40.13        7.40       27.37      157.33        4.92
       98.50       14.78       40.02        7.42       27.43      159.73        4.91
      103.50       14.83       39.75        7.53       27.52      160.25        4.89
      108.50       14.91       39.56        7.38       27.70      163.19        4.91
      113.50       15.03       39.50        6.63       27.83      165.00        4.93
      118.50       15.00       39.45        6.27       27.80      157.83        4.91
      123.50       15.01       39.31        5.73       27.93      159.82        4.91
      128.50       15.00       39.32        5.57       27.98      166.17        4.91
      133.50       15.00       39.30        5.50       28.00      165.00        4.89
      138.50       14.98       39.30        5.58       28.05      160.63        4.91
      143.50       15.05       39.13        4.67       28.18      159.42        4.91
      148.50       15.09       39.00        4.85       28.27      164.75        4.91
      153.50       15.13       38.63        4.38       28.35      167.17        4.88
      158.50       15.11       38.69        4.35       28.41      167.21        4.88
      163.50       15.17       38.54        4.09       28.48      173.00        4.88
      168.50       15.20       38.45        4.48       28.60      172.83        4.88
      173.50       15.19       38.46        4.49       28.59      171.33        4.88
      178.50       15.17       38.48        4.58       28.66      171.17        4.88
      183.50       15.12       38.50        4.71       28.62      171.00        4.87
      188.50       15.07       38.57        4.37       28.64      172.21        4.87
      193.50       15.00       38.68        4.05       28.60      173.57        4.86
      198.50       14.96       38.74        4.25       28.62      172.28        4.86
      203.50       14.95       38.89        4.54       28.70      174.42        4.88
      208.50       14.97       38.85        4.78       28.70      171.75        4.88
      213.50       14.86       39.01        4.63       28.70      170.97        4.88
      218.50       14.80       39.15        4.55       28.70      169.25        4.88
      223.50       14.79       39.18        4.63       28.70      168.57        4.87
      228.50       14.72       39.34        4.42       28.70      168.47        4.88
      233.50       14.71       39.41        4.40       28.72      169.43        4.89
      238.50       14.64       39.46        4.54       28.73      168.06        4.88
      243.50       14.61       39.56        4.38       28.71      164.87        4.88
      248.50       14.60       39.63        4.60       28.76      168.34        4.89
      253.50       14.61       39.61        4.96       28.83      164.93        4.90
      258.50       14.54       39.66        4.87       28.80      168.78        4.88
      263.50       14.48       39.76        4.97       28.80      166.50        4.88
      268.50       14.45       39.82        5.04       28.80      165.83        4.88
      273.50       14.37       39.91        4.72       28.81      166.25        4.87
      278.50       14.31       40.02        4.78       28.80      167.00        4.87
      283.50       14.30       40.16        4.75       28.83      168.31        4.88
      288.50       14.25       40.20        4.97       28.80      168.67        4.87
      293.50       14.18       40.35        4.90       28.77      167.17        4.86
      298.50       14.18       40.38        5.10       28.80      167.50        4.87
      303.50       14.12       40.42        5.24       28.85      168.12        4.88
      308.50       14.11       40.52        5.29       28.90      169.00        4.88
      313.50       14.06       40.60        5.12       28.88      169.25        4.88
      318.50       14.02       40.68        5.05       28.90      169.59        4.88
      323.50       13.96       40.77        5.17       28.87      170.53        4.87
      328.50       13.91       40.84        5.26       28.90      171.27        4.87
      333.50       13.89       40.97        5.13       28.89      170.22        4.87
      338.50       13.83       40.99        5.18       28.90      170.53        4.86
      343.50       13.77       41.13        5.12       28.88      170.26        4.86
      348.50       13.75       41.12        5.19       28.90      171.13        4.86
      353.50       13.71       40.97        5.35       28.93      171.47        4.84
      358.50       13.68       41.07        5.33       28.92      170.90        4.84
      363.50       13.63       41.06        5.45       28.95      170.93        4.82
      368.50       13.59       41.01        5.44       28.95      165.00        4.81
      373.50       13.56       41.15        5.50       28.95      169.50        4.81
      378.50       13.48       41.21        5.68       28.93      165.93        4.80
      383.50       13.41       41.29        5.56       28.91      169.78        4.80
      388.50       13.40       41.17        5.73       28.93      172.96        4.77
      393.50       13.32       41.28        5.82       28.91      170.95        4.77
      398.50       13.31       41.30        5.80       28.96      167.60        4.77
      403.50       13.28       41.36        5.79       28.94      171.53        4.76
      408.50       13.20       41.49        5.82       28.94      168.79        4.76
