    Alt_mean        Temp          Rh       Speed       PTemp         Dir          MR
        3.50       17.23       35.31       10.19       29.04      165.47        5.02
        8.50       17.49       33.16        1.05       29.38      189.38        4.79
       13.50       17.63       32.07        1.25       29.52      191.67        4.67
       18.50       17.73       31.24        1.42       29.72      183.43        4.59
       23.50       17.75       31.02        1.40       29.77      182.62        4.55
       28.50       17.70       30.93        1.43       29.80      182.00        4.53
       33.50       17.70       30.84        1.51       29.80      185.08        4.52
       38.50       17.65       30.81        1.54       29.81      185.54        4.50
       43.50       17.60       30.75        1.60       29.81      187.25        4.47
       48.50       17.54       30.72        1.54       29.81      195.83        4.47
       53.50       17.58       30.70        1.65       29.90      198.50        4.47
       58.50       17.51       30.65        1.65       29.90      198.79        4.45
       63.50       17.50       30.57        1.63       29.90      203.67        4.44
       68.50       17.45       30.58        1.42       29.94      203.96        4.44
       73.50       17.44       30.57        1.40       29.99      205.27        4.43
       78.50       17.40       30.66        1.40       29.95      204.62        4.43
       83.50       17.36       30.71        1.41       29.97      206.63        4.43
       88.50       17.30       30.77        1.45       29.97      202.75        4.43
       93.50       17.26       30.85        1.50       29.99      206.60        4.42
       98.50       17.21       30.93        1.56       29.99      207.27        4.43
      103.50       17.12       31.03        1.47       29.99      208.67        4.43
      108.50       17.10       31.10        1.70       30.00      199.00        4.42
      113.50       17.09       31.15        1.91       29.99      207.53        4.43
      118.50       17.01       31.27        1.42       29.95      203.63        4.42
      123.50       17.00       31.30        1.30       30.00      203.83        4.42
      128.50       16.91       31.43        1.48       29.98      197.51        4.43
      133.50       16.90       31.52        1.40       29.98      195.33        4.43
      138.50       16.81       31.66        1.07       29.98      195.44        4.44
      143.50       16.78       31.78        0.90       29.99      223.28        4.45
      148.50       16.69       31.88        1.01       29.98      207.12        4.44
      153.50       16.67       31.92        1.13       29.98      194.34        4.44
      158.50       16.60       32.02        1.05       29.95      193.08        4.44
      163.50       16.54       32.12        0.92       29.97      202.42        4.45
      168.50       16.50       32.25        0.94       29.95      199.12        4.45
      173.50       16.48       32.34        1.00       29.96      192.26        4.45
      178.50       16.40       32.35        1.14       29.95      191.00        4.44
      183.50       16.39       32.41        1.32       29.98      185.00        4.44
      188.50       16.34       32.49        1.36       29.98      204.00        4.44
      193.50       16.28       32.56        1.25       29.98      211.97        4.44
      198.50       16.26       32.70        1.28       29.97      219.67        4.45
      203.50       16.20       32.74        1.38       30.00      220.89        4.45
      208.50       16.19       32.79        1.43       29.99      216.91        4.44
      213.50       16.10       32.86        1.40       29.99      212.75        4.44
