    Alt_mean        Temp          Rh       Speed       PTemp         Dir          MR
        3.50       10.59       69.27       10.26       22.03      126.30        6.38
        8.50       11.52       66.41        1.21       23.09      151.02        6.52
       13.50       12.40       62.50        1.25       24.05      167.89        6.51
       18.50       12.96       59.59        1.33       24.69      202.40        6.45
       23.50       13.38       57.57        1.67       25.15      199.64        6.40
       28.50       13.46       56.39        1.89       25.30      204.73        6.30
       33.50       13.71       55.33        2.19       25.61      214.43        6.29
       38.50       14.27       52.60        2.42       26.22      213.56        6.20
       43.50       14.64       49.17        2.55       26.67      197.07        5.94
       48.50       15.34       44.02        3.25       27.44      207.48        5.56
       53.50       15.81       40.71        3.59       28.00      208.66        5.31
       58.50       16.02       39.25        3.64       28.24      208.67        5.18
       63.50       16.03       38.56        3.58       28.32      204.90        5.10
       68.50       16.01       38.27        3.57       28.40      202.71        5.07
       73.50       16.05       37.74        3.52       28.45      201.33        5.01
       78.50       16.13       37.15        3.49       28.60      198.60        4.96
       83.50       16.10       37.02        3.50       28.61      199.19        4.94
       88.50       16.10       36.98        3.47       28.62      199.57        4.93
       93.50       16.11       37.02        3.28       28.71      196.74        4.94
       98.50       16.16       36.57        3.31       28.79      196.28        4.89
      103.50       16.13       36.50        3.33       28.83      197.44        4.88
      108.50       16.16       36.22        3.20       28.89      197.20        4.85
      113.50       16.17       36.07        3.19       28.96      197.63        4.84
      118.50       16.09       36.12        3.09       28.93      194.53        4.82
      123.50       16.02       36.11        3.05       28.93      196.60        4.81
      128.50       16.01       35.97        3.09       28.99      191.67        4.79
      133.50       16.00       35.88        3.07       29.00      193.54        4.78
      138.50       15.95       35.84        3.10       29.00      190.87        4.75
      143.50       15.90       35.82        3.03       29.00      193.60        4.75
      148.50       15.90       35.67        2.98       29.04      193.88        4.72
      153.50       15.87       35.70        3.07       29.07      192.83        4.72
      158.50       15.87       35.48        3.30       29.10      192.78        4.69
      163.50       15.80       35.46        3.21       29.10      195.29        4.68
      168.50       15.74       35.59        3.31       29.10      194.00        4.67
      173.50       15.70       35.60        3.55       29.10      197.33        4.67
      178.50       15.69       36.02        3.62       29.12      196.67        4.72
      183.50       15.63       36.46        3.58       29.11      194.00        4.77
      188.50       15.57       36.64        3.55       29.12      199.67        4.78
      193.50       15.52       36.57        3.60       29.10      196.73        4.75
      198.50       15.49       36.63        3.60       29.10      198.13        4.75
      203.50       15.41       36.55        3.69       29.09      194.47        4.72
      208.50       15.38       36.72        3.69       29.10      194.53        4.73
      213.50       15.33       36.79        3.63       29.12      194.92        4.74
      218.50       15.38       36.50        3.58       29.19      195.58        4.71
      223.50       15.34       36.35        3.53       29.22      195.57        4.69
      228.50       15.30       36.43        3.68       29.21      193.46        4.68
      233.50       15.24       36.42        3.53       29.21      199.76        4.67
      238.50       15.20       36.36        3.45       29.26      195.67        4.66
      243.50       15.15       36.49        3.46       29.22      193.57        4.65
      248.50       15.10       36.61        3.47       29.21      187.92        4.65
      253.50       15.08       36.59        3.41       29.28      191.92        4.64
      258.50       15.00       36.58        3.45       29.22      189.29        4.64
      263.50       14.97       36.65        3.58       29.23      193.67        4.63
      268.50       14.94       36.62        3.58       29.25      192.08        4.62
      273.50       14.90       36.47        3.56       29.30      189.13        4.60
      278.50       14.82       36.40        3.18       29.28      187.33        4.57
      283.50       14.81       36.33        3.16       29.30      186.62        4.56
      288.50       14.80       36.19        3.14       29.32      185.33        4.54
      293.50       14.70       36.27        3.20       29.30      181.50        4.53
      298.50       14.70       36.34        3.24       29.30      183.37        4.53
      303.50       14.67       36.46        3.17       29.30      184.08        4.53
      308.50       14.60       36.57        3.21       29.30      181.50        4.54
      313.50       14.59       36.56        3.27       29.36      182.56        4.53
      318.50       14.56       36.47        3.19       29.39      183.62        4.51
      323.50       14.50       36.50        3.24       29.38      181.42        4.50
      328.50       14.44       36.60        3.22       29.36      179.51        4.49
      333.50       14.40       36.65        3.20       29.37      180.83        4.49
      338.50       14.38       36.72        3.20       29.40      180.24        4.50
      343.50       14.32       36.77        3.12       29.40      179.83        4.49
      348.50       14.30       36.80        3.02       29.40      180.25        4.49
      353.50       14.26       36.89        2.95       29.40      181.47        4.49
      358.50       14.20       36.96        2.90       29.40      182.47        4.49
      363.50       14.17       37.01        2.89       29.43      182.61        4.48
      368.50       14.10       37.07        2.86       29.41      180.33        4.47
      373.50       14.09       37.13        2.82       29.46      179.65        4.48
      378.50       14.04       37.21        2.80       29.43      179.13        4.47
      383.50       13.99       37.31        2.83       29.41      179.88        4.47
      388.50       13.94       37.40        2.88       29.44      180.50        4.47
      393.50       13.90       37.46        2.85       29.42      178.75        4.46
      398.50       13.83       37.56        2.88       29.44      177.67        4.46
      403.50       13.79       37.60        2.81       29.42      178.25        4.46
      408.50       13.74       37.72        2.83       29.43      175.35        4.46
      413.50       13.70       37.77        2.83       29.43      177.67        4.46
