    Alt_mean        Temp          Rh       Speed       PTemp         Dir          MR
        3.50        8.20       72.31        1.71       19.68      163.26        5.68
        8.50        8.64       70.52        2.26       20.19      157.47        5.71
       13.50        9.31       66.29        3.33       20.95      159.55        5.62
       18.50        9.56       63.90        4.11       21.24      155.75        5.51
       23.50        9.91       61.70        4.77       21.64      151.46        5.44
       28.50       10.18       59.72        5.39       21.99      141.88        5.36
       33.50       10.24       59.11        5.78       22.11      143.26        5.34
       38.50       10.89       56.66        7.21       22.85      145.30        5.36
       43.50       10.91       55.80        7.47       22.91      148.91        5.29
       48.50       11.50       54.39        8.35       23.58      147.73        5.36
       53.50       11.61       53.27        8.65       23.75      146.33        5.29
       58.50       11.94       53.13        9.38       24.11      145.19        5.39
       63.50       12.33       52.43       10.02       24.63      143.42        5.47
       68.50       12.90       50.53       10.29       25.23      143.90        5.47
       73.50       13.06       49.29       10.19       25.47      143.76        5.39
       78.50       13.16       48.38        9.97       25.58      141.75        5.33
       83.50       13.25       47.21        9.68       25.74      142.33        5.23
       88.50       13.30       46.32        9.41       25.86      143.67        5.16
       93.50       13.30       45.86        9.34       25.95      143.12        5.12
       98.50       13.38       45.03        9.24       26.04      140.57        5.05
      103.50       13.40       44.81        9.31       26.10      141.83        5.02
      108.50       13.33       44.64        9.35       26.11      144.39        5.00
      113.50       13.44       44.31        9.38       26.25      143.25        4.99
      118.50       13.42       44.22        9.40       26.28      143.13        4.98
      123.50       13.46       44.22        9.39       26.37      147.63        5.00
      128.50       13.54       43.94        9.12       26.53      145.17        5.00
      133.50       13.56       43.81        9.07       26.57      146.43        4.99
      138.50       13.59       43.55        8.92       26.67      149.29        4.97
      143.50       13.59       43.61        8.81       26.71      150.03        4.98
      148.50       13.59       43.65        8.82       26.76      150.90        4.98
      153.50       13.76       42.96        8.42       27.01      151.85        4.97
      158.50       13.91       42.17        8.11       27.21      155.11        4.93
      163.50       13.92       41.90        8.04       27.27      156.67        4.90
      168.50       13.98       41.54        7.74       27.41      146.89        4.88
      173.50       13.89       41.68        7.83       27.33      152.42        4.87
      178.50       13.89       41.73        7.62       27.39      161.36        4.88
      183.50       13.87       41.65        7.25       27.46      162.83        4.87
      188.50       13.80       41.77        7.03       27.38      161.48        4.86
      193.50       13.89       41.52        6.46       27.54      165.62        4.86
      198.50       14.04       40.98        6.24       27.74      166.50        4.85
      203.50       14.10       40.60        5.89       27.87      168.56        4.83
      208.50       14.13       40.39        5.52       27.95      169.58        4.81
      213.50       14.10       40.28        5.34       27.96      168.66        4.79
      218.50       14.09       40.28        5.22       28.02      172.46        4.79
      223.50       14.10       40.21        5.43       28.08      175.63        4.79
      228.50       14.09       40.20        4.75       28.09      166.08        4.78
      233.50       14.02       40.20        4.95       28.10      175.72        4.78
      238.50       14.05       40.20        4.72       28.18      172.97        4.78
      243.50       14.03       40.19        4.43       28.21      170.61        4.78
      248.50       13.97       40.27        4.08       28.21      175.27        4.77
      253.50       13.98       40.29        3.83       28.26      177.00        4.78
      258.50       13.92       40.34        3.73       28.25      174.19        4.77
      263.50       13.85       40.36        3.80       28.25      175.20        4.76
      268.50       13.80       40.49        4.10       28.21      177.41        4.76
      273.50       13.85       40.42        3.47       28.32      172.73        4.77
      278.50       13.81       40.39        3.50       28.32      174.63        4.75
      283.50       13.77       40.44        3.48       28.34      173.51        4.75
      288.50       13.75       40.49        3.21       28.37      176.54        4.75
      293.50       13.72       40.47        3.17       28.40      176.50        4.75
      298.50       13.68       40.56        3.04       28.40      180.99        4.75
      303.50       13.67       40.55        2.98       28.44      178.69        4.74
      308.50       13.65       40.39        3.31       28.46      181.96        4.72
      313.50       13.72       39.84        3.67       28.61      180.44        4.69
      318.50       13.71       39.71        4.00       28.61      178.75        4.67
      323.50       13.69       39.76        4.03       28.67      176.73        4.66
      328.50       13.62       39.80        3.80       28.65      178.83        4.66
      333.50       13.60       39.80        3.67       28.68      177.83        4.65
      338.50       13.60       39.72        3.98       28.78      178.33        4.65
      343.50       13.57       39.75        4.04       28.76      178.44        4.64
      348.50       13.47       39.85        4.30       28.67      180.75        4.63
      353.50       13.45       39.89        4.45       28.73      178.73        4.62
      358.50       13.40       39.97        4.34       28.70      179.83        4.62
      363.50       13.40       39.99        4.45       28.77      178.13        4.63
      368.50       13.34       40.09        4.36       28.74      181.92        4.62
      373.50       13.30       40.21        4.74       28.79      181.19        4.63
      378.50       13.30       40.22        4.88       28.80      184.17        4.64
      383.50       13.21       40.27        4.76       28.80      181.87        4.62
      388.50       13.20       40.50        4.64       28.80      183.07        4.63
      393.50       13.12       40.55        4.66       28.81      181.77        4.63
      398.50       13.10       40.61        4.79       28.80      183.57        4.63
      403.50       13.08       40.61        4.94       28.84      183.60        4.63
