    Alt_mean        Temp          Rh       Speed       PTemp         Dir          MR
        3.50        7.71       72.67        1.58       19.29      145.86        5.53
        8.50        8.12       70.64        2.55       19.75      148.90        5.52
       13.50        8.35       68.97        3.08       20.05      152.50        5.49
       18.50        8.77       65.88        4.34       20.51      150.28        5.39
       23.50        9.32       62.73        5.11       21.16      151.12        5.33
       28.50        9.61       61.12        5.49       21.50      144.05        5.29
       33.50        9.82       59.96        6.35       21.80      145.16        5.28
       38.50       10.14       58.78        6.61       22.19      145.60        5.29
       43.50       10.65       56.56        7.66       22.73      142.00        5.26
       48.50       11.44       54.52        8.43       23.64      145.55        5.36
       53.50       12.01       51.20        8.84       24.25      145.04        5.22
       58.50       12.52       48.40        9.39       24.85      149.35        5.11
       63.50       12.74       47.18        9.50       25.14      145.11        5.05
       68.50       12.77       46.84        9.42       25.21      145.91        5.03
       73.50       12.80       46.80        9.19       25.29      146.46        5.05
       78.50       12.93       46.45        9.05       25.48      147.56        5.05
       83.50       12.99       46.26        9.05       25.60      146.28        5.05
       88.50       13.13       45.57        8.92       25.79      146.32        5.02
       93.50       13.12       45.38        8.37       25.81      149.27        5.00
       98.50       13.13       45.35        8.09       25.90      148.82        5.01
      103.50       13.28       44.86        7.80       26.12      152.29        5.01
      108.50       13.46       44.16        7.63       26.35      148.74        4.99
      113.50       13.63       43.51        6.99       26.56      153.13        4.97
      118.50       13.67       43.06        6.32       26.65      160.59        4.94
      123.50       13.67       43.06        6.25       26.70      157.64        4.93
      128.50       13.60       43.14        6.66       26.70      161.13        4.93
      133.50       13.53       43.20        6.28       26.67      161.91        4.92
      138.50       13.58       43.12        5.59       26.76      159.36        4.92
      143.50       13.62       42.78        5.44       26.89      162.44        4.91
      148.50       13.59       42.80        5.26       26.88      158.58        4.90
      153.50       13.57       42.77        4.88       26.91      160.50        4.89
      158.50       13.52       42.78        4.84       26.90      160.77        4.88
      163.50       13.49       42.84        4.33       26.93      168.87        4.88
      168.50       13.50       42.87        3.81       27.00      164.42        4.89
      173.50       13.53       42.77        4.10       27.07      169.11        4.88
      178.50       13.50       42.64        4.28       27.10      163.88        4.87
      183.50       13.44       42.75        3.77       27.10      172.25        4.87
      188.50       13.39       42.85        3.25       27.10      171.25        4.87
      193.50       13.33       43.03        3.53       27.06      171.40        4.86
      198.50       13.31       42.99        3.26       27.11      175.25        4.86
      203.50       13.40       42.93        3.11       27.27      184.49        4.89
      208.50       13.40       42.84        2.94       27.30      193.50        4.88
      213.50       13.28       42.93        3.13       27.23      193.33        4.86
      218.50       13.32       42.88        3.02       27.33      192.50        4.86
      223.50       13.82       41.60        3.41       27.90      193.00        4.87
      228.50       13.85       41.12        3.59       27.99      191.33        4.83
      233.50       13.82       40.95        3.60       28.00      187.58        4.81
      238.50       13.80       40.97        3.54       28.02      185.73        4.80
      243.50       13.78       40.92        3.48       28.04      190.00        4.79
      248.50       13.80       40.93        3.39       28.10      194.00        4.79
      253.50       13.70       40.90        3.21       28.09      192.71        4.78
      258.50       13.70       40.91        3.16       28.11      191.44        4.78
      263.50       13.80       40.62        3.07       28.24      190.83        4.77
      268.50       13.83       40.21        3.29       28.36      191.23        4.74
      273.50       13.81       40.11        3.22       28.38      188.93        4.72
      278.50       13.72       40.20        3.70       28.35      182.83        4.71
      283.50       13.67       40.27        3.41       28.33      188.25        4.71
      288.50       13.60       40.45        3.40       28.35      191.50        4.71
      293.50       13.59       40.35        3.82       28.38      193.17        4.69
      298.50       13.55       40.38        3.88       28.39      189.39        4.68
      303.50       13.48       40.45        3.88       28.38      189.69        4.69
      308.50       13.42       40.58        3.85       28.37      186.63        4.68
      313.50       13.42       40.52        4.03       28.37      194.87        4.67
      318.50       13.43       40.39        4.33       28.45      194.23        4.66
      323.50       13.32       40.69        4.31       28.37      190.92        4.67
      328.50       13.22       40.90        4.70       28.36      193.37        4.67
      333.50       13.18       41.07        4.48       28.34      193.67        4.67
      338.50       13.14       41.08        4.44       28.38      190.89        4.67
      343.50       13.23       40.78        4.73       28.52      188.00        4.66
      348.50       13.20       40.69        4.71       28.52      193.24        4.64
      353.50       13.10       40.88        4.76       28.47      193.25        4.64
      358.50       13.20       40.42        4.94       28.64      190.00        4.62
      363.50       13.16       40.32        4.72       28.66      187.43        4.61
      368.50       12.93       41.12        4.54       28.45      189.92        4.62
      373.50       12.80       41.73        4.75       28.30      183.50        4.65
      378.50       12.70       42.02        4.69       28.30      189.00        4.65
      383.50       12.75       41.65        4.99       28.41      190.12        4.64
      388.50       12.82       41.26        5.25       28.57      187.83        4.63
      393.50       12.91       40.84        5.30       28.68      184.56        4.60
      398.50       12.88       40.91        4.89       28.70      185.00        4.59
      403.50       12.81       41.05        4.82       28.68      185.06        4.59
