    Alt_mean        Temp          Rh       Speed       PTemp         Dir          MR
        3.50       18.94       28.49        2.63       30.67      356.17        4.49
        8.50       18.33       28.81        3.12       30.08      334.28        4.37
       13.50       18.16       29.45        4.03       29.98      338.50        4.42
       18.50       17.43       29.47        4.53       29.26      320.56        4.21
       23.50       17.51       29.84        4.13       29.38      333.83        4.30
       28.50       17.54       29.53        3.89       29.48      323.91        4.26
       33.50       17.46       29.92        4.51       29.39      328.37        4.29
       38.50       17.33       30.41        4.69       29.34      316.97        4.34
       43.50       17.35       30.68        5.55       29.43      340.34        4.39
       48.50       17.30       30.83        5.68       29.42      340.42        4.40
       53.50       16.94       31.04        6.14       29.12      306.05        4.33
       58.50       16.93       31.36        6.39       29.15      323.02        4.39
       63.50       16.74       31.29        4.97       28.99      291.32        4.31
       68.50       16.66       31.48        5.16       28.98      291.22        4.32
       73.50       16.62       31.58        4.73       29.00      296.02        4.33
       78.50       16.64       31.68        4.16       29.04      301.78        4.35
       83.50       16.62       31.68        4.12       29.06      295.56        4.35
       88.50       16.56       31.83        4.19       29.06      262.20        4.35
       93.50       16.50       31.84        4.68       29.04      300.24        4.33
       98.50       16.48       32.00        4.42       29.06      298.36        4.35
      103.50       16.45       31.86        3.92       29.10      312.37        4.32
      108.50       16.40       31.93        3.71       29.10      304.71        4.32
      113.50       16.28       32.05        4.30       28.99      277.48        4.30
      118.50       16.25       32.32        3.77       29.03      290.19        4.34
      123.50       16.26       32.41        5.05       29.14      338.55        4.37
      128.50       16.29       32.36        5.21       29.18      355.87        4.37
      133.50       16.14       32.31        3.71       29.10      354.14        4.32
      138.50       15.96       32.32        2.34       28.94       17.63        4.26
      143.50       15.91       32.48        3.44       28.96        1.67        4.27
      148.50       15.85       32.54        3.14       28.93      359.81        4.27
      153.50       15.88       32.69        4.56       29.00      351.81        4.29
      158.50       15.96       32.49        4.11       29.15      351.04        4.30
      163.50       15.89       31.96        3.96       29.13      358.85        4.20
      168.50       15.87       31.02        4.17       29.17        5.53        4.06
      173.50       15.92       31.08        4.50       29.25        2.01        4.07
      178.50       15.74       31.14        3.27       29.14      355.47        4.05
      183.50       15.72       31.03        2.99       29.15        3.57        4.02
      188.50       15.55       32.23        3.35       28.98      356.63        4.14
