    Alt_mean        Temp          Rh       Speed       PTemp         Dir          MR
        3.50        9.86       75.25        0.53       21.29      192.51        6.60
        8.50       10.77       70.30        1.43       22.30      172.76        6.56
       13.50       11.98       61.47        2.32       23.64      180.93        6.22
       18.50       13.07       54.23        2.77       24.80      187.97        5.90
       23.50       13.40       52.08        2.67       25.20      194.33        5.79
       28.50       13.55       51.12        2.45       25.40      200.93        5.75
       33.50       13.70       50.54        2.18       25.60      210.38        5.73
       38.50       13.78       51.22        2.18       25.73      220.50        5.85
       43.50       13.84       51.42        2.30       25.86      218.38        5.90
       48.50       14.17       47.70        2.47       26.24      211.13        5.59
       53.50       14.58       45.12        2.73       26.75      197.30        5.44
       58.50       14.96       42.80        2.81       27.19      203.63        5.29
       63.50       15.19       41.99        2.77       27.47      196.88        5.26
       68.50       15.70       40.09        3.00       28.03      194.75        5.19
       73.50       15.76       39.46        3.00       28.17      197.10        5.14
       78.50       15.79       38.97        3.06       28.21      200.25        5.08
       83.50       15.88       38.01        3.13       28.40      191.75        5.00
       88.50       15.90       37.78        3.18       28.41      190.67        4.96
       93.50       15.89       37.56        3.40       28.50      191.43        4.94
       98.50       15.84       37.35        3.61       28.54      190.07        4.91
      103.50       15.90       37.13        3.73       28.60      192.02        4.88
      108.50       15.90       36.77        3.58       28.67      190.67        4.85
      113.50       15.89       36.68        3.48       28.70      191.44        4.83
      118.50       15.85       36.48        3.38       28.70      190.17        4.80
      123.50       15.80       36.36        3.29       28.74      192.37        4.78
      128.50       15.83       35.92        3.18       28.81      189.71        4.73
      133.50       15.89       35.23        3.08       28.91      182.77        4.66
      138.50       15.90       35.00        3.10       28.97      180.50        4.63
      143.50       15.87       35.02        3.04       29.00      182.32        4.63
      148.50       15.81       35.05        2.99       29.00      181.00        4.62
      153.50       15.79       35.10        2.91       29.00      178.53        4.62
      158.50       15.72       35.19        2.92       29.00      183.62        4.61
      163.50       15.71       35.11        2.98       29.04      181.77        4.60
      168.50       15.70       35.12        3.00       29.06      178.87        4.60
      173.50       15.61       35.18        3.00       29.02      181.17        4.59
      178.50       15.60       35.20        3.00       29.06      180.83        4.59
      183.50       15.60       35.22        3.01       29.10      181.89        4.59
      188.50       15.57       35.26        3.15       29.12      178.71        4.59
      193.50       15.50       35.32        3.13       29.11      176.69        4.58
      198.50       15.49       35.40        3.14       29.14      179.27        4.59
      203.50       15.42       35.50        3.11       29.14      176.67        4.59
      208.50       15.38       35.50        3.10       29.16      176.00        4.59
      213.50       15.34       35.59        3.10       29.18      177.67        4.58
      218.50       15.31       35.62        3.05       29.17      176.98        4.58
      223.50       15.28       35.70        3.08       29.19      175.08        4.58
      228.50       15.21       35.73        3.03       29.20      175.73        4.58
      233.50       15.20       35.85        3.09       29.20      175.88        4.58
      238.50       15.12       36.00        3.14       29.19      177.12        4.58
      243.50       15.08       36.16        3.20       29.20      174.19        4.59
      248.50       15.08       36.20        3.20       29.20      173.79        4.60
      253.50       15.03       36.20        3.21       29.24      176.05        4.59
      258.50       15.00       36.19        3.29       29.25      172.52        4.58
      263.50       14.96       36.31        3.30       29.26      168.48        4.58
      268.50       14.90       36.36        3.30       29.29      171.53        4.59
      273.50       14.88       36.49        3.30       29.27      168.15        4.58
      278.50       14.83       36.53        3.37       29.28      168.50        4.59
      283.50       14.79       36.59        3.35       29.29      169.53        4.59
      288.50       14.72       36.66        3.33       29.29      166.40        4.58
      293.50       14.71       36.71        3.38       29.29      168.19        4.58
      298.50       14.64       36.76        3.39       29.30      165.53        4.57
      303.50       14.60       36.88        3.45       29.30      168.17        4.57
      308.50       14.57       36.92        3.49       29.30      166.25        4.57
      313.50       14.51       37.00        3.50       29.30      166.00        4.57
      318.50       14.46       37.07        3.57       29.28      166.52        4.57
      323.50       14.42       37.11        3.58       29.31      166.63        4.56
      328.50       14.37       37.21        3.60       29.30      166.37        4.56
      333.50       14.35       37.30        3.59       29.30      164.50        4.56
      338.50       14.28       37.35        3.57       29.31      163.75        4.56
      343.50       14.22       37.46        3.54       29.30      162.77        4.56
      348.50       14.19       37.52        3.56       29.30      161.85        4.55
      353.50       14.11       37.60        3.59       29.30      163.46        4.54
      358.50       14.09       37.68        3.55       29.30      162.50        4.55
      363.50       14.09       37.74        3.55       29.32      162.94        4.55
      368.50       14.00       37.85        3.59       29.31      161.39        4.54
      373.50       13.94       37.91        3.58       29.31      162.39        4.54
      378.50       13.90       38.00        3.54       29.32      160.90        4.54
      383.50       13.87       38.02        3.51       29.34      164.42        4.54
      388.50       13.80       38.11        3.52       29.33      162.28        4.53
      393.50       13.78       38.21        3.53       29.34      160.67        4.53
      398.50       13.71       38.29        3.51       29.32      160.37        4.53
      403.50       13.68       38.40        3.50       29.35      162.13        4.52
      408.50       13.62       38.48        3.50       29.36      163.92        4.53
