    Alt_mean        Temp          Rh       Speed       PTemp         Dir          MR
        3.50       13.07       51.70        0.81       24.64       87.90        5.61
        8.50       13.86       49.13        1.04       25.52       88.42        5.61
       13.50       16.07       40.25        2.32       27.87      224.88        5.31
       18.50       16.37       37.70        2.45       28.23      225.17        5.07
       23.50       16.52       36.31        2.59       28.43      218.47        4.93
       28.50       16.56       35.63        2.61       28.53      217.10        4.86
       33.50       16.68       34.66        2.63       28.68      211.25        4.75
       38.50       16.66       34.27        2.71       28.73      211.01        4.71
       43.50       16.66       34.23        2.69       28.81      207.91        4.70
       48.50       16.74       33.72        2.73       28.89      200.78        4.65
       53.50       16.98       32.87        2.72       29.22      191.30        4.61
       58.50       17.00       32.70        2.66       29.30      189.43        4.60
       63.50       17.00       32.61        2.68       29.31      189.62        4.58
       68.50       16.99       32.53        2.71       29.39      189.00        4.58
       73.50       16.95       32.52        2.72       29.39      187.37        4.57
       78.50       16.90       32.55        2.70       29.40      188.00        4.56
       83.50       16.87       32.58        2.71       29.40      189.76        4.55
       88.50       16.80       32.64        2.78       29.39      191.27        4.55
       93.50       16.80       32.69        2.74       29.41      192.21        4.55
       98.50       16.70       32.72        2.67       29.40      194.47        4.54
      103.50       16.67       32.78        2.67       29.40      193.97        4.54
      108.50       16.63       32.81        2.67       29.42      193.63        4.54
      113.50       16.59       32.89        2.70       29.41      191.23        4.53
      118.50       16.50       32.94        2.64       29.40      194.17        4.52
      123.50       16.49       33.03        2.65       29.40      194.10        4.53
      128.50       16.44       33.10        2.62       29.41      191.37        4.52
      133.50       16.40       33.18        2.60       29.47      194.94        4.53
      138.50       16.40       33.19        2.60       29.50      194.03        4.53
      143.50       16.31       33.27        2.57       29.46      194.84        4.52
      148.50       16.30       33.30        2.47       29.46      194.63        4.52
      153.50       16.23       33.40        2.41       29.46      196.95        4.52
      158.50       16.20       33.41        2.43       29.49      195.10        4.52
      163.50       16.15       33.47        2.38       29.47      194.75        4.51
      168.50       16.11       33.54        2.37       29.48      193.07        4.51
      173.50       16.07       33.60        2.43       29.49      196.25        4.51
      178.50       16.01       33.68        2.41       29.47      194.44        4.50
      183.50       16.00       33.68        2.50       29.50      195.92        4.50
      188.50       15.94       33.70        2.50       29.50      195.56        4.49
      193.50       15.88       33.74        2.38       29.50      199.93        4.48
      198.50       15.86       33.81        2.32       29.50      194.13        4.49
      203.50       15.80       33.85        2.50       29.51      199.97        4.48
      208.50       15.75       33.91        2.62       29.50      199.30        4.47
