    Alt_mean        Temp          Rh       Speed       PTemp         Dir          MR
        3.50       18.66       26.72       10.51       30.42      344.00        4.10
        8.50       18.55       27.25        3.70       30.38      345.69        4.17
       13.50       18.17       27.27        3.98       29.99      339.60        4.06
       18.50       17.73       27.55        4.23       29.63      342.83        3.98
       23.50       17.64       27.84        4.44       29.56      349.06        4.00
       28.50       17.65       27.99        4.36       29.63      350.57        4.04
       33.50       17.65       28.01        4.34       29.66      357.00        4.05
       38.50       17.66       28.02        4.06       29.73        0.47        4.06
       43.50       17.82       28.03        4.25       29.97      358.17        4.11
       48.50       17.87       28.03        4.33       30.03      356.33        4.12
       53.50       17.83       28.10        3.80       30.08      357.67        4.12
       58.50       17.73       28.06        4.35       30.02      357.12        4.09
       63.50       17.32       28.03        3.72       29.65      321.06        3.97
       68.50       17.18       28.14        4.29       29.53      318.06        3.94
       73.50       17.17       28.60        4.30       29.63      314.67        4.03
       78.50       17.15       28.64        4.49       29.62      331.76        4.03
       83.50       17.08       28.78        4.37       29.59      284.66        4.03
       88.50       17.09       28.82        4.56       29.62      308.78        4.04
       93.50       17.03       28.88        4.62       29.66      327.97        4.04
       98.50       16.97       29.03        5.17       29.57      328.36        4.03
      103.50       16.80       29.10        4.03       29.50      345.99        4.01
      108.50       16.79       29.06        3.52       29.54      341.00        4.00
      113.50       16.72       29.08        4.05       29.52      314.83        3.99
      118.50       16.68       29.16        3.97       29.56      329.48        3.99
      123.50       16.71       29.36        4.27       29.57      335.37        4.01
      128.50       16.72       29.45        4.17       29.66      353.57        4.05
      133.50       16.70       29.39        3.62       29.69      341.83        4.03
      138.50       16.53       29.42        4.03       29.60      344.81        4.00
      143.50       16.50       29.25        3.40       29.60        0.42        3.96
      148.50       16.45       29.00        3.51       29.61      355.67        3.91
      153.50       16.39       29.10        3.82       29.58      349.04        3.91
      158.50       16.34       29.27        4.15       29.56      347.38        3.92
      163.50       16.27       29.70        4.32       29.60      335.29        3.98
      168.50       16.31       30.09        3.78       29.69      291.75        4.05
      173.50       16.21       30.37        3.18       29.60      266.98        4.06
      178.50       16.12       30.50        3.15       29.56      266.58        4.06
      183.50       16.10       30.57        3.30       29.57      271.69        4.06
      188.50       16.07       30.52        3.12       29.59      264.88        4.05
      193.50       15.99       30.27        2.92       29.57      277.17        3.99
      198.50       15.92       30.46        2.75       29.54      275.75        4.00
      203.50       15.87       30.52        2.71       29.55      283.35        3.99
      208.50       15.81       30.52        2.70       29.53      287.96        3.98
      213.50       15.80       30.27        2.92       29.58      282.13        3.95
      218.50       15.75       30.04        2.94       29.59      284.52        3.90
      223.50       15.63       30.47        2.91       29.53      281.04        3.94
      228.50       15.65       30.54        2.79       29.58      307.60        3.95
      233.50       15.58       30.73        3.00       29.58      328.73        3.96
      238.50       15.60       30.56        3.10       29.60      295.97        3.94
      243.50       15.49       30.76        3.51       29.57      307.89        3.94
      248.50       15.49       30.78        3.19       29.59      299.91        3.94
      253.50       15.40       30.87        2.97       29.60      283.99        3.94
      258.50       15.34       30.93        2.88       29.53      304.93        3.93
      263.50       15.37       31.06        2.95       29.66      327.99        3.96
      268.50       15.40       30.80        2.76       29.70      336.66        3.93
      273.50       15.35       30.74        2.73       29.72      357.08        3.91
      278.50       15.27       31.30        4.67       29.70      354.99        3.97
      283.50       15.16       31.63        4.68       29.64      352.00        3.99
      288.50       15.12       31.48        2.93       29.62      339.00        3.96
      293.50       15.01       31.27        2.96       29.58      348.31        3.91
      298.50       15.07       31.52        3.77       29.67      349.72        3.96
      303.50       15.02       31.24        2.99       29.68        6.10        3.90
      308.50       15.05       30.84        2.72       29.75      358.24        3.86
      313.50       15.00       31.40        3.71       29.75      355.87        3.92
      318.50       14.92       31.90        5.02       29.72      356.17        3.98
      323.50       14.92       32.09        4.63       29.79        8.47        4.00
      328.50       14.76       31.50        2.77       29.66      332.43        3.88
      333.50       14.65       31.95        3.55       29.58      342.00        3.91
      338.50       14.61       32.34        4.09       29.60      339.13        3.96
      343.50       14.56       32.50        4.23       29.62      340.64        3.97
      348.50       14.53       32.59        5.17       29.63      347.09        3.98
      353.50       14.53       32.77        5.50       29.70      349.00        4.00
      358.50       14.48       32.95        5.29       29.70      348.05        4.01
      363.50       14.37       32.74        3.88       29.62      348.89        3.95
      368.50       14.34       32.65        3.43       29.63      337.78        3.93
      373.50       14.28       33.01        3.53       29.60      270.97        3.97
      378.50       14.29       32.88        2.94       29.69      300.24        3.96
      383.50       14.27       32.75        2.99       29.68      315.89        3.93
      388.50       14.18       32.90        3.32       29.66      320.06        3.93
      393.50       14.23       33.10        3.64       29.78      338.08        3.97
      398.50       14.24       33.15        3.74       29.84      341.84        3.99
      403.50       14.06       32.99        3.24       29.73      328.87        3.92
      408.50       13.92       33.19        2.09       29.59      332.39        3.90
