    Alt_mean        Temp          Rh       Speed       PTemp         Dir          MR
        3.50       18.36       29.90        0.00       30.20      326.98        4.55
        8.50       18.38       27.92        0.04       30.29      351.18        4.24
       13.50       18.38       27.87        0.17       30.29       10.82        4.23
       18.50       18.21       27.79        0.30       30.20       11.99        4.17
       23.50       18.17       28.21        0.44       30.22       22.45        4.24
       28.50       18.04       29.21        0.73       30.12       46.44        4.36
       33.50       17.95       29.99        0.76       30.07       66.30        4.47
       38.50       17.91       30.48        0.42       30.09       77.33        4.53
       43.50       17.91       30.13        0.42       30.14       62.78        4.48
       48.50       17.79       30.32        0.27       30.07       84.42        4.48
       53.50       17.77       30.35        0.06       30.10       47.37        4.49
       58.50       17.70       29.72        0.00       30.10      313.07        4.37
       63.50       17.71       29.09        0.50       30.12      245.58        4.26
       68.50       17.76       29.07        0.77       30.26      288.03        4.27
       73.50       17.75       28.63        1.10       30.28      268.00        4.20
       78.50       17.69       28.49        1.07       30.26      266.46        4.16
       83.50       17.57       28.66        1.15       30.20      242.61        4.16
       88.50       17.50       28.90        1.10       30.13      219.25        4.17
       93.50       17.46       29.12        0.97       30.12      221.34        4.20
       98.50       17.42       28.94        0.57       30.18      273.49        4.17
      103.50       17.33       29.16        0.58       30.14      246.35        4.17
      108.50       17.27       28.93        0.65       30.15      170.54        4.13
      113.50       17.30       28.96        0.74       30.20      210.42        4.13
      118.50       17.23       28.86        0.62       30.19      181.15        4.10
      123.50       17.12       29.05        0.77       30.12      252.99        4.11
      128.50       17.10       29.08        1.06       30.18      168.36        4.11
      133.50       17.10       29.16        1.08       30.21      155.16        4.12
      138.50       17.08       29.14        0.88       30.22      179.71        4.11
      143.50       17.09       29.06        0.92       30.30      186.40        4.10
      148.50       17.01       28.94        1.15       30.23      171.30        4.06
      153.50       16.91       29.06        1.18       30.21      172.54        4.07
      158.50       16.89       29.34        1.19       30.21      159.38        4.09
      163.50       16.79       29.54        1.23       30.19      153.59        4.11
      168.50       16.71       29.94        1.26       30.19      151.34        4.15
      173.50       16.71       29.88        1.34       30.20      163.40        4.14
      178.50       16.65       29.87        1.32       30.20      175.44        4.12
      183.50       16.60       29.97        1.31       30.19      171.25        4.12
      188.50       16.50       30.11        1.20       30.13      166.15        4.12
      193.50       16.49       30.30        1.15       30.19      162.87        4.15
      198.50       16.44       30.32        1.13       30.16      165.54        4.14
      203.50       16.42       30.32        1.22       30.18      169.30        4.13
      208.50       16.35       30.39        1.09       30.16      163.32        4.13
      213.50       16.25       30.71        1.32       30.12      169.37        4.15
