    Alt_mean        Temp          Rh       Speed       PTemp         Dir          MR
        3.50       12.07       52.46       11.44       23.85      142.99        5.35
        8.50       11.99       51.97        6.10       23.83      145.35        5.28
       13.50       11.95       52.28        6.98       23.79      146.43        5.28
       18.50       11.85       52.57        7.75       23.75      176.06        5.28
       23.50       11.80       52.65        6.74       23.78      136.60        5.28
       28.50       11.73       52.61        6.97       23.76      144.94        5.26
       33.50       11.71       52.86        7.29       23.78      158.67        5.28
       38.50       11.67       52.90        7.98       23.77      140.72        5.27
       43.50       11.66       52.24        8.52       23.84      160.06        5.21
       48.50       11.57       52.88        8.77       23.77      163.80        5.24
       53.50       11.64       52.44        9.38       23.86      142.46        5.22
       58.50       11.62       52.05        9.68       23.91      145.51        5.18
       63.50       11.58       52.25       10.11       23.95      138.27        5.19
       68.50       11.58       52.10        9.49       23.98      134.56        5.17
       73.50       11.43       52.59        9.65       23.91      145.75        5.18
       78.50       11.55       52.13       10.05       24.04      142.35        5.17
       83.50       11.59       51.81       10.54       24.15      144.25        5.16
       88.50       11.55       51.76       10.93       24.16      142.67        5.15
       93.50       11.51       51.88       10.89       24.14      140.06        5.15
       98.50       11.75       51.07       11.26       24.48      135.23        5.15
      103.50       12.54       47.33       11.55       25.35      144.63        5.03
      108.50       13.02       45.46       11.48       25.88      145.73        4.99
      113.50       13.06       44.87       11.27       25.98      142.67        4.94
