    Alt_mean        Temp          Rh       Speed       PTemp         Dir          MR
        3.50       17.82       31.68        0.68       29.66      179.33        4.66
        8.50       17.83       31.72        0.80       29.73      184.00        4.67
       13.50       17.93       30.43        1.05       29.87      177.25        4.51
       18.50       17.96       29.90        1.15       29.95      174.13        4.45
       23.50       17.94       29.59        1.21       30.00      173.71        4.40
       28.50       17.96       29.67        1.23       30.03      181.78        4.41
       33.50       17.88       29.28        1.40       30.00      177.67        4.32
       38.50       17.89       29.17        1.43       30.08      185.34        4.31
       43.50       17.81       29.27        1.59       30.03      186.71        4.31
       48.50       17.76       29.48        1.33       30.03      165.82        4.33
       53.50       17.74       29.46        1.52       30.05      167.36        4.33
       58.50       17.73       29.37        1.74       30.13      199.00        4.31
       63.50       17.68       29.29        1.73       30.09      195.39        4.28
       68.50       17.60       29.30        1.70       30.07      199.43        4.27
       73.50       17.54       29.37        1.60       30.07      191.04        4.26
       78.50       17.53       29.43        1.55       30.11      200.03        4.27
       83.50       17.48       29.52        1.65       30.10      190.21        4.27
       88.50       17.44       29.55        1.68       30.10      205.40        4.26
       93.50       17.40       29.69        1.58       30.10      201.12        4.27
       98.50       17.34       29.75        1.44       30.12      200.43        4.27
      103.50       17.27       29.78        1.36       30.08      199.80        4.26
      108.50       17.24       29.80        1.31       30.10      199.47        4.26
      113.50       17.20       29.87        1.32       30.11      198.22        4.26
      118.50       17.12       29.94        1.34       30.11      197.00        4.25
      123.50       17.09       30.06        1.33       30.11      202.71        4.26
      128.50       17.09       30.08        1.27       30.12      199.43        4.26
      133.50       16.99       30.21        1.35       30.09      192.21        4.25
      138.50       16.91       30.22        1.23       30.08      196.52        4.24
      143.50       16.91       30.31        1.20       30.11      193.33        4.26
      148.50       16.87       30.37        1.20       30.10      195.40        4.25
      153.50       16.80       30.54        1.30       30.09      191.70        4.26
      158.50       16.70       30.65        1.30       30.08      204.02        4.26
      163.50       16.70       30.72        1.26       30.10      208.37        4.26
      168.50       16.65       30.78        1.32       30.11      203.22        4.27
      173.50       16.63       30.88        1.25       30.10      207.39        4.27
      178.50       16.55       30.96        1.23       30.08      204.75        4.26
      183.50       16.52       31.04        1.38       30.11      207.00        4.27
      188.50       16.44       31.13        1.23       30.09      207.92        4.27
      193.50       16.36       31.23        1.12       30.04      206.11        4.26
      198.50       16.33       31.36        1.09       30.10      205.37        4.26
      203.50       16.30       31.42        1.20       30.10      195.63        4.27
      208.50       16.25       31.61        1.34       30.07      189.33        4.28
