    Alt_mean        Temp          Rh       Speed       PTemp         Dir          MR
        3.50       18.67       26.74        0.48       30.51       30.63        4.12
        8.50       18.38       26.66        0.32       30.26       21.17        4.02
       13.50       18.33       26.75        0.50       30.33       32.75        4.03
       18.50       18.20       26.78        0.51       30.18       34.66        4.00
       23.50       18.20       27.18        0.70       30.22       21.75        4.06
       28.50       18.20       27.00        0.75       30.29       23.20        4.04
       33.50       18.17       26.92        0.74       30.30       25.08        4.02
       38.50       18.04       27.06        0.83       30.23       96.53        4.01
       43.50       17.89       28.30        1.01       30.10      114.40        4.17
       48.50       17.84       28.47        1.07       30.14       22.71        4.19
       53.50       17.88       27.87        1.41       30.18       47.75        4.10
       58.50       17.77       28.07        1.50       30.14      103.20        4.10
       63.50       17.69       28.21        1.59       30.12      169.40        4.11
       68.50       17.68       28.05        1.52       30.14      210.32        4.08
       73.50       17.61       28.29        2.16       30.14      164.78        4.11
       78.50       17.61       28.49        2.07       30.18      125.21        4.13
       83.50       17.50       28.75        1.10       30.10      307.21        4.14
       88.50       17.41       28.93        1.68       30.07      252.49        4.16
       93.50       17.39       28.47        1.80       30.12      115.79        4.08
       98.50       17.34       28.85        1.31       30.13      199.57        4.13
      103.50       17.30       28.82        1.67       30.11      294.00        4.12
      108.50       17.30       28.73        1.59       30.17       89.51        4.10
      113.50       17.27       29.30        1.04       30.16      102.26        4.19
      118.50       17.18       29.52        0.66       30.12      341.54        4.20
      123.50       17.14       29.19        1.23       30.14      310.20        4.14
      128.50       17.08       29.43        0.96       30.14      328.67        4.16
      133.50       17.05       28.95        1.27       30.16       80.00        4.07
      138.50       16.93       29.29        1.50       30.07      155.65        4.10
      143.50       16.92       29.11        1.47       30.12      233.33        4.06
      148.50       16.85       29.46        1.34       30.08      292.52        4.11
      153.50       16.80       29.30        1.15       30.10      338.47        4.07
      158.50       16.73       29.58        0.81       30.11      312.68        4.10
      163.50       16.76       29.74        1.31       30.16      209.73        4.13
      168.50       16.73       29.64        1.61       30.18      175.13        4.11
      173.50       16.61       30.09        1.50       30.11      140.24        4.15
      178.50       16.65       29.73        1.19       30.20       20.32        4.10
      183.50       16.63       29.33        1.31       30.22      354.39        4.04
      188.50       16.50       29.42        1.07       30.14       64.73        4.02
      193.50       16.42       30.67        0.69       30.13       71.19        4.19
      198.50       16.40       30.34        0.80       30.14       47.75        4.13
      203.50       16.32       31.08        0.63       30.10       70.40        4.23
      208.50       16.32       31.31        0.62       30.15       70.58        4.26
