    Alt_mean        Temp          Rh       Speed       PTemp         Dir          MR
        3.50        8.00       71.02        1.13       19.43      114.75        5.49
        8.50        8.44       68.49        1.87       19.92      128.83        5.46
       13.50        8.65       66.19        2.43       20.18      140.84        5.36
       18.50        8.93       63.55        3.06       20.54      133.39        5.24
       23.50        9.56       59.65        3.99       21.25      140.30        5.14
       28.50       10.81       55.29        4.38       22.59      145.96        5.17
       33.50       12.42       49.93        3.78       24.32      159.34        5.21
       38.50       13.33       47.14        3.30       25.32      168.79        5.23
       43.50       14.12       44.35        2.92       26.21      181.52        5.18
       48.50       14.59       42.22        2.45       26.74      185.73        5.09
       53.50       15.01       41.01        2.01       27.23      194.69        5.08
       58.50       15.16       40.63        1.96       27.41      194.28        5.08
       63.50       15.25       40.15        2.20       27.58      194.33        5.06
       68.50       15.38       39.57        2.69       27.73      192.75        5.02
       73.50       15.39       39.41        2.96       27.79      195.33        5.01
       78.50       15.41       39.36        3.24       27.89      196.17        5.01
       83.50       15.66       38.34        3.36       28.22      197.38        4.97
       88.50       15.69       37.84        3.16       28.29      194.84        4.91
       93.50       15.67       37.68        3.03       28.33      195.83        4.89
       98.50       15.66       37.39        2.90       28.36      194.75        4.86
      103.50       15.76       36.89        2.56       28.48      194.33        4.82
      108.50       15.75       36.62        2.35       28.55      194.25        4.79
      113.50       15.71       36.55        2.28       28.59      190.28        4.77
      118.50       15.70       36.49        2.23       28.61      191.31        4.76
      123.50       15.69       36.38        2.20       28.64      192.38        4.74
      128.50       15.70       36.21        2.35       28.70      193.87        4.73
      133.50       15.70       36.10        2.50       28.76      191.63        4.72
      138.50       15.70       35.97        2.60       28.80      192.00        4.71
      143.50       15.70       36.00        2.69       28.86      191.37        4.71
      148.50       15.69       36.10        2.69       28.89      187.67        4.71
      153.50       15.62       36.08        2.70       28.88      189.67        4.70
      158.50       15.57       36.17        2.73       28.88      187.50        4.70
      163.50       15.55       36.23        2.79       28.89      184.37        4.70
      168.50       15.53       36.33        2.90       28.97      187.00        4.72
      173.50       15.50       36.33        3.02       28.97      182.53        4.71
      178.50       15.50       36.30        3.22       29.02      182.77        4.71
      183.50       15.51       36.20        3.25       29.09      182.65        4.70
      188.50       15.50       36.23        3.20       29.09      180.25        4.70
      193.50       15.45       36.30        3.20       29.10      179.42        4.70
      198.50       15.41       36.38        3.30       29.11      179.56        4.70
      203.50       15.40       36.31        3.34       29.13      179.96        4.69
      208.50       15.36       36.37        3.42       29.17      181.83        4.69
      213.50       15.35       36.40        3.48       29.21      181.23        4.69
      218.50       15.31       36.46        3.37       29.22      181.81        4.70
      223.50       15.30       36.49        3.30       29.22      179.92        4.69
      228.50       15.22       36.60        3.34       29.22      177.43        4.69
      233.50       15.19       36.61        3.43       29.25      177.70        4.69
      238.50       15.17       36.61        3.44       29.30      177.93        4.68
      243.50       15.12       36.61        3.49       29.29      181.42        4.68
      248.50       15.08       36.64        3.54       29.31      180.00        4.67
      253.50       15.03       36.70        3.60       29.30      179.33        4.66
      258.50       15.00       36.75        3.53       29.30      177.48        4.66
      263.50       14.98       36.73        3.62       29.33      181.02        4.65
      268.50       14.94       36.80        3.63       29.33      180.47        4.65
      273.50       14.87       36.83        3.70       29.32      177.38        4.64
      278.50       14.85       36.95        3.69       29.32      182.12        4.65
      283.50       14.81       37.17        3.78       29.35      178.68        4.67
      288.50       14.76       37.32        3.80       29.38      181.13        4.67
      293.50       14.70       37.36        3.79       29.36      180.39        4.67
      298.50       14.68       37.38        3.90       29.36      180.56        4.66
      303.50       14.60       37.41        3.86       29.35      180.94        4.65
      308.50       14.54       37.57        3.89       29.30      179.90        4.65
      313.50       14.50       37.54        3.93       29.35      180.20        4.64
      318.50       14.47       37.65        3.85       29.34      185.20        4.64
      323.50       14.46       37.72        3.82       29.39      181.47        4.65
      328.50       14.40       37.84        3.84       29.40      181.47        4.65
      333.50       14.36       37.94        3.81       29.38      178.47        4.65
      338.50       14.28       38.09        3.88       29.37      183.67        4.66
      343.50       14.25       38.26        3.77       29.38      182.42        4.66
      348.50       14.19       38.37        3.89       29.36      182.83        4.66
      353.50       14.14       38.51        3.87       29.37      179.58        4.67
      358.50       14.10       38.66        3.81       29.40      180.03        4.68
      363.50       14.07       38.79        3.81       29.40      179.54        4.68
      368.50       14.03       38.82        3.84       29.38      178.03        4.68
      373.50       13.95       38.95        3.80       29.36      178.40        4.68
      378.50       13.93       39.06        3.86       29.41      183.07        4.68
      383.50       13.89       39.12        3.83       29.39      180.00        4.68
      388.50       13.82       39.22        3.85       29.41      177.87        4.68
      393.50       13.78       39.27        3.89       29.38      179.37        4.67
      398.50       13.71       39.35        3.90       29.39      178.00        4.66
      403.50       13.67       39.44        3.84       29.40      176.43        4.67
      408.50       13.61       39.57        4.00       29.39      179.75        4.67
