jdate,T_sn1,RH_sn1,T_sn2,RH_sn2,T_sn3,RH_sn3,T_sn4,RH_sn4,T_sn5,RH_sn5,BP_mbar
275,26.4507466666667,13.7268066666667,26.4062733333333,13.4316466666667,26.2820666666667,13.6528333333333,25.57176,12.86494,25.0236333333333,12.15996,864.178266666667
275.003472222222,25.9761066666667,13.80012,26.05622,13.4419533333333,25.9905,13.6264933333333,25.2914,12.8409066666667,24.79494,12.12192,864.156266666667
275.006944444444,25.7689066666667,13.9333266666667,25.937,13.5363066666667,25.89938,13.69208,25.21318,12.90472,24.73676,12.1674533333333,864.1312
275.010416666667,25.5901,14.0414066666667,25.8048066666667,13.6087933333333,25.79296,13.74164,25.12848,12.94212,24.66488,12.19618,864.081333333333
275.013888888889,25.4193533333333,14.1583666666667,25.6850933333333,13.70802,25.6961333333333,13.83416,25.0394333333333,13.03168,24.6011,12.28648,864.0716
275.017361111111,25.3839266666667,14.23506,25.6879266666667,13.7649466666667,25.6951333333333,13.8897466666667,25.0319733333333,13.0990266666667,24.5979733333333,12.3363066666667,864.092333333334
275.020833333333,25.3362133333333,14.2938466666667,25.6537533333333,13.80858,25.68008,13.9175666666667,25.0054066666667,13.1342066666667,24.5826533333333,12.3782533333333,864.110133333334
275.024305555556,25.19764,14.4194533333333,25.58528,13.89694,25.63352,13.9861266666667,24.9829133333333,13.1876666666667,24.55492,12.4345933333333,864.1564
275.027777777778,25.08806,14.4602533333333,25.5843066666667,13.8716533333333,25.6479133333333,13.9482866666667,24.9779466666667,13.16658,24.49914,12.45418,864.1704
275.03125,24.9086466666667,14.5854733333333,25.43316,13.9910933333333,25.5180066666667,14.07402,24.8836333333333,13.2781333333333,24.41252,12.5571333333333,864.155
275.034722222222,24.5394933333333,14.7770066666667,25.1369333333333,14.1264333333333,25.2894133333333,14.1244,24.7070933333333,13.28096,24.35792,12.4703066666667,864.166
275.038194444444,24.6403066666667,14.3931333333333,25.3677066666667,13.6621133333333,25.54374,13.65506,24.9690666666667,12.8359266666667,24.564,12.0527,864.1332
275.041666666667,24.84458,14.2720933333333,25.5473733333333,13.5516266666667,25.7046733333333,13.5688866666667,25.0747933333333,12.7776133333333,24.6433866666667,12.01814,864.1304
275.045138888889,24.9958333333333,14.15674,25.6539933333333,13.4767133333333,25.8006,13.5289666666667,25.1411266666667,12.7795533333333,24.6876466666667,12.05476,864.1452
275.048611111111,24.85038,14.4719333333333,25.52834,13.7932466666667,25.6407266666667,13.8666466666667,25.01542,13.0824733333333,24.6348266666667,12.2994733333333,864.1816
275.052083333333,24.7794,14.6278533333333,25.4616466666667,13.9239333333333,25.6096,13.9457133333333,25.0356933333333,13.1099,24.6690933333333,12.3225333333333,864.154666666667
275.055555555556,24.7298933333333,14.5232666666667,25.4039333333333,13.82188,25.6132333333333,13.80516,25.03906,12.97386,24.6174333333333,12.2049133333333,864.1546
275.059027777778,24.6451866666667,14.5045133333333,25.3197733333333,13.8140933333333,25.5142866666667,13.80202,24.9159466666667,12.9763733333333,24.48684,12.2135133333333,864.151666666666
275.0625,24.5560333333333,14.44764,25.19774,13.7769066666667,25.38516,13.7673066666667,24.8630133333333,12.9075533333333,24.50902,12.1029,864.1654
275.065972222222,24.60574,14.6203066666667,25.2906933333333,13.9260133333333,25.5195133333333,13.9124466666667,24.98908,13.0738866666667,24.5978933333333,12.3060533333333,864.179133333333
275.069444444444,24.9411866666667,14.6122133333333,25.6032266666667,13.9259466666667,25.7648733333333,13.9452733333333,25.1123266666667,13.1648466666667,24.6629266666667,12.4277933333333,864.211066666666
275.072916666667,24.9158333333333,14.6885933333333,25.54998,14.04692,25.7035866666667,14.0815266666667,25.0839733333333,13.2788933333333,24.6579266666667,12.54506,864.205466666666
275.076388888889,24.78016,14.8258,25.44998,14.1560666666667,25.6586,14.1435533333333,25.0459733333333,13.3389533333333,24.6144266666667,12.5960666666667,864.2048
