    Time  Press    Temp     Rh    Alt  Speed    Dir   Batt  P.Temp  Dew   S.H.   M.R.     Et    Ozone O3Curr O3Temp   AD1    AD2    AD3    AD4    AD5    AD6
            hPa      °C     %      m    mps    deg      v     °C     °C          g/kg      s      ppb     µA     °C     v      v      v      v      v      v 
--------------------------------------------------------------------------------------------------------------------------------------------------------------
01:31:25 869.74   18.6   25.7   1313    1.5    197    8.6    30.5  -1.4   0.80   3.92   42.9     0.00   0.00    0.0  0.000  0.000  0.000  0.000  0.000  0.000
01:31:28 869.93   18.9   26.8   1311    1.2    178    8.6    30.8  -0.6   0.81   4.19   45.9     0.00   0.00    0.0  0.000  0.000  0.000  0.000  0.000  0.000
01:31:29 869.80   18.5   25.2   1313    1.2    173    8.6    30.4  -1.7   0.79   3.80   46.9     0.00   0.00    0.0  0.000  0.000  0.000  0.000  0.000  0.000
01:31:30 869.65   18.2   25.1   1314    1.1    173    8.6    30.1  -2.0   0.79   3.72   47.9     0.00   0.00    0.0  0.000  0.000  0.000  0.000  0.000  0.000
01:31:31 870.03   18.2   25.4   1310    1.1    171    8.6    30.0  -1.9   0.79   3.76   48.9     0.00   0.00    0.0  0.000  0.000  0.000  0.000  0.000  0.000
01:31:32 869.75   18.3   25.6   1313    1.1    191    8.6    30.2  -1.7   0.79   3.81   49.9     0.00   0.00    0.0  0.000  0.000  0.000  0.000  0.000  0.027
01:31:37 870.01   18.1   25.7   1311    0.0    283    8.6    29.9  -1.8   0.79   3.78   55.5     0.00   0.00    0.0  0.000  0.090  0.016  0.000  0.000  0.027
01:31:38 869.68   18.4   26.0   1314   38.5    175    8.6    30.3  -1.4   0.80   3.91   56.5     0.00   0.00    0.0  0.000  0.090  0.016  0.000  0.000  0.027
01:31:40 870.02   18.5   25.6   1311    1.3    185    8.6    30.3  -1.6   0.79   3.86   57.5     0.00   0.00    0.0  0.000  0.090  0.016  0.000  0.000  0.027
01:31:40 869.85   18.6   25.6   1312    1.2    183    8.6    30.4  -1.5   0.80   3.89   58.5     0.00   0.00    0.0  0.000  0.090  0.016  0.000  0.000  0.027
01:31:41 870.01   18.4   25.6   1311    1.2    185    8.6    30.2  -1.6   0.79   3.84   59.5     0.00   0.00    0.0  0.000  0.090  0.016  0.000  0.000  0.027
01:31:43 869.96   18.6   25.8   1311    1.2    193    8.6    30.5  -1.3   0.80   3.93   61.5     0.00   0.00    0.0  0.000  0.089  0.016  0.000  0.000  0.027
01:31:45 869.83   18.6   25.8   1312    1.2    195    8.6    30.5  -1.3   0.80   3.93   63.5     0.00   0.00    0.0  0.000  0.089  0.016  0.000  0.000  0.027
01:31:46 869.78   18.6   25.5   1313    1.1    194    8.6    30.5  -1.5   0.80   3.88   64.5     0.00   0.00    0.0  0.000  0.089  0.016  0.000  0.000  0.027
01:31:47 869.94   18.5   25.2   1311    1.2    193    8.6    30.4  -1.7   0.79   3.82   65.5     0.00   0.00    0.0  0.000  0.089  0.016  0.000  0.000  0.027
01:31:49 869.79   18.4   25.8   1313    1.7    196    8.6    30.3  -1.5   0.80   3.89   67.5     0.00   0.00    0.0  0.000  0.089  0.016  0.000  0.000  0.027
01:31:50 869.96   18.4   25.1   1311    1.9    198    8.6    30.2  -1.9   0.79   3.75   68.5     0.00   0.00    0.0  0.000  0.089  0.016  0.000  0.000  0.026
01:31:51 869.79   18.4   25.1   1313    2.0    195    8.6    30.3  -1.9   0.79   3.76   69.5     0.00   0.00    0.0  0.000  0.089  0.016  0.000  0.000  0.026
01:31:52 869.99   18.5   25.2   1311    2.1    192    8.6    30.3  -1.7   0.79   3.80   70.5     0.00   0.00    0.0  0.000  0.089  0.016  0.000  0.000  0.026
01:31:53 869.65   18.5   25.3   1314    2.1    193    8.6    30.3  -1.7   0.79   3.81   71.5     0.00   0.00    0.0  0.000  0.089  0.016  0.000  0.000  0.026
01:31:54 869.84   18.5   25.5   1312    2.1    191    8.6    30.3  -1.6   0.79   3.84   72.5     0.00   0.00    0.0  0.000  0.089  0.016  0.000  0.000  0.026
01:31:56 869.73   18.5   25.8   1313    2.0    187    8.6    30.3  -1.5   0.80   3.90   74.5     0.00   0.00    0.0  0.000  0.088  0.016  0.000  0.000  0.026
01:31:57 869.72   18.5   25.3   1313    2.0    187    8.6    30.3  -1.7   0.79   3.82   75.5     0.00   0.00    0.0  0.000  0.088  0.016  0.000  0.000  0.026
01:31:58 869.89   18.5   25.3   1312    1.9    186    8.6    30.3  -1.7   0.79   3.81   76.5     0.00   0.00    0.0  0.000  0.088  0.016  0.000  0.000  0.026
01:32:00 870.05   18.5   25.3   1310    1.8    183    8.6    30.3  -1.7   0.79   3.81   78.5     0.00   0.00    0.0  0.000  0.088  0.016  0.000  0.000  0.026
01:32:02 869.98   18.4   25.3   1311    1.8    180    8.6    30.3  -1.8   0.79   3.80   80.5     0.00   0.00    0.0  0.000  0.088  0.016  0.000  0.000  0.026
01:32:03 869.70   18.5   25.4   1314    1.7    179    8.6    30.4  -1.6   0.79   3.84   81.5     0.00   0.00    0.0  0.000  0.088  0.016  0.000  0.000  0.026
01:32:04 870.05   18.3   25.3   1310    1.6    182    8.6    30.1  -1.9   0.79   3.75   82.5     0.00   0.00    0.0  0.000  0.088  0.016  0.000  0.000  0.026
01:32:05 869.76   18.2   25.3   1313    1.6    187    8.6    30.0  -2.0   0.79   3.72   83.5     0.00   0.00    0.0  0.000  0.088  0.016  0.000  0.000  0.026
01:32:06 869.85   18.4   25.2   1312    1.6    190    8.6    30.3  -1.8   0.79   3.78   84.5     0.00   0.00    0.0  0.000  0.088  0.016  0.000  0.000  0.026
01:32:07 869.69   18.4   25.2   1314    1.5    190    8.6    30.3  -1.8   0.79   3.78   85.5     0.00   0.00    0.0  0.000  0.088  0.016  0.000  0.000  0.026
01:32:08 869.68   18.4   25.3   1314    1.4    191    8.6    30.3  -1.7   0.79   3.81   86.5     0.00   0.00    0.0  0.000  0.088  0.016  0.000  0.000  0.026
01:32:09 869.77   18.7   25.5   1313    1.4    191    8.6    30.5  -1.5   0.80   3.89   87.5     0.00   0.00    0.0  0.000  0.088  0.016  0.000  0.000  0.026
01:32:10 869.63   18.5   25.5   1314    1.3    190    8.6    30.4  -1.6   0.79   3.84   88.5     0.00   0.00    0.0  0.000  0.088  0.016  0.000  0.000  0.026
01:32:11 869.78   18.3   25.2   1313    1.3    192    8.6    30.1  -2.0   0.79   3.74   89.5     0.00   0.00    0.0  0.000  0.088  0.016  0.000  0.000  0.026
01:32:13 869.98   18.6   25.0   1311    1.1    192    8.6    30.4  -1.8   0.79   3.80   91.5     0.00   0.00    0.0  0.000  0.087  0.016  0.000  0.000  0.026
01:32:14 869.94   18.5   25.1   1311    1.0    186    8.6    30.3  -1.8   0.79   3.78   92.5     0.00   0.00    0.0  0.000  0.088  0.016  0.000  0.000  0.026
01:32:15 869.78   18.6   25.4   1313    1.0    184    8.6    30.5  -1.5   0.80   3.88   93.5     0.00   0.00    0.0  0.000  0.087  0.016  0.000  0.000  0.026
01:32:18 870.02   18.8   26.1   1311    0.8    187    8.5    30.6  -1.0   0.80   4.05   96.5     0.00   0.00    0.0  0.000  0.087  0.016  0.000  0.000  0.026
01:32:19 869.81   18.7   25.6   1313    0.8    188    8.5    30.6  -1.3   0.80   3.94   97.5     0.00   0.00    0.0  0.000  0.087  0.016  0.000  0.000  0.026
01:32:20 869.68   18.5   25.5   1314    0.8    181    8.5    30.4  -1.6   0.79   3.86   98.5     0.00   0.00    0.0  0.000  0.087  0.016  0.000  0.000  0.026
01:32:21 869.99   18.9   26.2   1311    0.8    175    8.5    30.8  -0.8   0.80   4.10   99.5     0.00   0.00    0.0  0.000  0.087  0.016  0.000  0.000  0.026
01:32:22 869.91   18.8   26.7   1312    0.8    178    8.5    30.6  -0.8   0.81   4.13  100.5     0.00   0.00    0.0  0.000  0.087  0.016  0.000  0.000  0.026
01:32:24 869.95   18.9   26.5   1311    0.8    193    8.5    30.7  -0.7   0.81   4.15  102.5     0.00   0.00    0.0  0.000  0.087  0.016  0.000  0.000  0.026
01:32:25 869.81   18.8   25.6   1313    0.8    192    8.5    30.6  -1.3   0.80   3.96  103.5     0.00   0.00    0.0  0.000  0.087  0.016  0.000  0.000  0.026
01:32:26 869.85   18.9   26.0   1312    0.8    190    8.5    30.8  -1.0   0.80   4.05  104.5     0.00   0.00    0.0  0.000  0.087  0.016  0.000  0.000  0.026
01:32:27 869.84   18.6   25.5   1312    0.9    187    8.5    30.5  -1.5   0.80   3.89  105.5     0.00   0.00    0.0  0.000  0.087  0.016  0.000  0.000  0.026
01:32:30 869.93   18.4   25.0   1311    1.5    196    8.5    30.2  -2.0   0.79   3.73  108.5     0.00   0.00    0.0  0.000  0.087  0.016  0.000  0.000  0.025
01:32:31 869.69   18.6   25.0   1314    1.6    192    8.5    30.5  -1.8   0.79   3.79  109.5     0.00   0.00    0.0  0.000  0.087  0.016  0.000  0.000  0.026
01:32:32 869.78   18.6   25.0   1313    1.6    191    8.5    30.4  -1.8   0.79   3.78  110.5     0.00   0.00    0.0  0.000  0.086  0.016  0.000  0.000  0.026
01:32:33 869.79   18.5   25.1   1313    1.7    189    8.5    30.4  -1.8   0.79   3.78  111.5     0.00   0.00    0.0  0.000  0.086  0.016  0.000  0.000  0.025
01:32:34 869.66   18.4   25.1   1314    1.7    191    8.5    30.3  -1.8   0.79   3.77  112.5     0.00   0.00    0.0  0.000  0.086  0.016  0.000  0.000  0.025
01:32:35 869.76   18.4   25.1   1313    1.6    193    8.5    30.3  -1.9   0.79   3.77  113.5     0.00   0.00    0.0  0.000  0.086  0.015  0.000  0.000  0.025
