jdate,T_sn1,RH_sn1,T_sn2,RH_sn2,T_sn3,RH_sn3,T_sn4,RH_sn4,T_sn5,RH_sn5,BP_mbar
273,27.3638533333333,16.1625,27.2625133333333,15.6706933333333,27.07458,15.95124,26.42576,15.44726,25.83174,14.5323333333333,858.881933333333
273.003472222222,26.8067733333333,17.2667266666667,26.7641333333333,16.15192,26.6828333333333,16.63176,25.96486,16.0671466666667,25.4570933333333,15.0361466666667,858.893666666667
273.006944444444,26.1867533333333,17.1440066666667,26.2473,16.0620066666667,26.2329333333333,16.33306,25.55968,15.81076,25.0513933333333,14.6251666666667,858.869
273.010416666667,25.8519733333333,16.31274,25.98618,15.62126,25.9653333333333,15.6935666666667,25.2678666666667,15.29194,24.7763066666667,14.1735466666667,858.831733333334
273.013888888889,25.6509133333333,16.29912,25.8541866666667,15.5816533333333,25.83836,15.6562733333333,25.1527733333333,15.31344,24.6709533333333,14.1600733333333,858.8212
273.017361111111,25.4780533333333,16.6711333333333,25.7725666666667,15.60154,25.7828733333333,15.6590866666667,25.0973333333333,15.3685466666667,24.6223133333333,14.1746666666667,858.795333333334
273.020833333333,25.0782066666667,17.2353533333333,25.63592,15.71258,25.6946266666667,15.7159466666667,25.0037266666667,15.6741666666667,24.5606,14.1798133333333,858.795533333333
273.024305555556,24.7199466666667,17.7438133333333,25.33232,16.0016733333333,25.5470333333333,15.7991866666667,24.9482933333333,15.25466,24.5734733333333,14.11976,858.7826
273.027777777778,24.2740333333333,18.5371066666667,24.9423066666667,16.5005,25.34052,16.17908,24.81422,15.0583933333333,24.5158466666667,14.22642,858.7582
273.03125,23.4756866666667,19.4494133333333,24.53288,16.7430533333333,25.2162333333333,16.1585266666667,24.7455666666667,15.5775466666667,24.42846,14.3116,858.722666666666
273.034722222222,23.29692,19.57874,24.4312533333333,16.8587133333333,25.1075,16.3907533333333,24.54606,16.36042,24.2781533333333,14.4068466666667,858.703466666667
273.038194444444,23.0616666666667,19.7966133333333,24.42594,16.7623933333333,25.0707533333333,16.3285933333333,24.5158066666667,15.9704333333333,24.20194,14.4728333333333,858.692333333333
273.041666666667,22.44024,20.7900266666667,23.8077266666667,18.4978466666667,24.8437266666667,16.8379666666667,24.46286,15.5410333333333,24.1496,14.5156466666667,858.704266666667
273.045138888889,21.8008066666667,21.6057,22.95778,19.6147,24.40766,17.4002,24.2276866666667,17.4248333333333,24.0985333333333,14.5597533333333,858.737733333333
273.048611111111,21.5763866666667,21.76732,22.5463733333333,19.9530733333333,24.2202066666667,17.4398933333333,24.1723,16.4981933333333,23.96108,14.6435066666667,858.723333333334
273.052083333333,21.5856866666667,21.69464,22.7722466666667,19.6399333333333,24.4100666666667,17.1985666666667,24.22286,17.81208,23.87988,14.6619933333333,858.689733333333
273.055555555556,21.7561066666667,21.2000866666667,23.0291733333333,18.94334,24.2105466666667,17.2022133333333,24.1311333333333,15.41714,23.9054333333333,14.4645666666667,858.686533333334
