         Alt       Press        Temp          Rh       Speed        Batt       PTemp         Dew          SH          MR          Et       Ozone      O3Curr      O3Temp         AD1         AD2         AD3         AD4         AD5         AD6    Dir_mode
        1481      853.91       15.88       31.08        4.48        8.10       29.24       -1.14        0.80        4.07      966.68        0.00        0.00        0.00        0.00        0.00        0.01        0.00        0.00        0.01      359.87
        1482      853.80       15.85       31.05        3.50        8.10       29.25       -1.20        0.80        4.06      972.55        0.00        0.00        0.00        0.00        0.00        0.01        0.00        0.00        0.01      355.50
        1483      853.72       15.75       30.95        3.40        8.10       29.15       -1.30        0.80        4.03      982.50        0.00        0.00        0.00        0.00        0.00        0.01        0.00        0.00        0.01      354.50
        1484      853.66       15.80       30.70        2.70        8.10       29.20       -1.40        0.80        4.00      981.00        0.00        0.00        0.00        0.00        0.00        0.01        0.00        0.00        0.01      352.00
        1485      853.48       15.70       31.35        3.40        8.10       29.10       -1.15        0.80        4.07      991.00        0.00        0.00        0.00        0.00        0.00        0.01        0.00        0.00        0.01      354.50
        1486      853.40       15.75       31.30        3.45        8.10       29.15       -1.15        0.80        4.07      988.00        0.00        0.00        0.00        0.00        0.00        0.01        0.00        0.00        0.01      359.00
        1487      853.29       15.70       31.40        3.40        8.10       29.10       -1.20        0.80        4.07      996.00        0.00        0.00        0.00        0.00        0.00        0.01        0.00        0.00        0.01      349.00
        1488      853.19       15.75       31.05        2.90        8.10       29.15       -1.25        0.80        4.03      998.00        0.00        0.00        0.00        0.00        0.00        0.01        0.00        0.00        0.01        2.50
        1489      853.09       15.75       31.03        2.92        8.10       29.18       -1.30        0.80        4.02     1000.75        0.00        0.00        0.00        0.00        0.00        0.01        0.00        0.00        0.01      359.00
        1490      853.01       15.70       31.05        3.15        8.10       29.15       -1.30        0.80        4.02     1004.50        0.00        0.00        0.00        0.00        0.00        0.01        0.00        0.00        0.01      360.00
        1491      852.92       15.75       30.75        2.92        8.10       29.15       -1.42        0.80        3.98     1007.83        0.00        0.00        0.00        0.00        0.00        0.01        0.00        0.00        0.01        4.17
        1492      852.80       15.64       31.28        3.06        8.10       29.12       -1.26        0.80        4.04     1015.40        0.00        0.00        0.00        0.00        0.00        0.01        0.00        0.00        0.01        3.87
        1493      852.67       15.55       31.85        3.40        8.10       29.00       -1.10        0.81        4.09     1020.50        0.00        0.00        0.00        0.00        0.00        0.01        0.00        0.00        0.01        1.00
        1494      852.61       15.60       31.90        3.40        8.10       29.00       -1.10        0.80        4.10     1020.00        0.00        0.00        0.00        0.00        0.00        0.01        0.00        0.00        0.01      355.00
        1495      852.51       15.53       32.32        3.35        8.10       29.00       -0.93        0.81        4.16     1024.67        0.00        0.00        0.00        0.00        0.00        0.01        0.00        0.00        0.01      358.83
        1497      852.27       15.50       32.83        3.27        8.10       28.93       -0.80        0.81        4.21     1033.00        0.00        0.00        0.00        0.00        0.00        0.01        0.00        0.00        0.01      351.67
        1498      852.15       15.50       33.00        3.40        8.10       29.00       -0.70        0.81        4.25     1035.00        0.00        0.00        0.00        0.00        0.00        0.01        0.00        0.00        0.01      359.00
        1499      852.14       15.50       33.00        3.50        8.10       29.00       -0.70        0.81        4.24     1037.00        0.00        0.00        0.00        0.00        0.00        0.01        0.00        0.00        0.01        1.00
