         Alt       Press        Temp          Rh       Speed        Batt       PTemp         Dew          SH          MR          Et       Ozone      O3Curr      O3Temp         AD1         AD2         AD3         AD4         AD5         AD6    Dir_mode
        1345      867.66       17.30       30.45        4.75        8.30       29.30       -0.25        0.81        4.33      493.50        0.00        0.00        0.00        0.00        0.00        0.01        0.00        0.00        0.01      316.50
        1346      867.57       17.32       30.46        5.04        8.30       29.34       -0.20        0.81        4.34      497.70        0.00        0.00        0.00        0.00        0.00        0.01        0.00        0.00        0.01      316.99
        1347      867.45       17.45       30.70        5.15        8.30       29.45        0.00        0.81        4.42      503.00        0.00        0.00        0.00        0.00        0.00        0.01        0.00        0.00        0.01      320.00
        1348      867.39       17.30       30.55        5.50        8.30       29.30       -0.20        0.81        4.34      501.50        0.00        0.00        0.00        0.00        0.00        0.01        0.00        0.00        0.01      325.00
        1349      867.29       17.30       30.63        5.47        8.30       29.40       -0.13        0.81        4.38      504.50        0.00        0.00        0.00        0.00        0.00        0.01        0.00        0.00        0.01      310.68
        1350      867.16       17.27       30.70        5.97        8.30       29.37       -0.10        0.81        4.38      509.17        0.00        0.00        0.00        0.00        0.00        0.01        0.00        0.00        0.01      340.00
        1351      867.06       17.60       30.80        4.80        8.20       29.70        0.20        0.82        4.48      518.50        0.00        0.00        0.00        0.00        0.00        0.01        0.00        0.00        0.01      345.00
        1352      866.98       17.30       30.70        6.00        8.30       29.40       -0.10        0.81        4.39      508.50        0.00        0.00        0.00        0.00        0.00        0.01        0.00        0.00        0.01      339.00
        1354      866.76       17.35       30.80        5.82        8.22       29.45        0.02        0.82        4.41      526.50        0.00        0.00        0.00        0.00        0.00        0.01        0.00        0.00        0.01        9.24
        1355      866.66       17.40       30.82        5.18        8.20       29.50        0.02        0.82        4.42      526.90        0.00        0.00        0.00        0.00        0.00        0.01        0.00        0.00        0.01      333.71
        1356      866.56       17.30       30.70        5.87        8.20       29.43       -0.10        0.81        4.38      526.83        0.00        0.00        0.00        0.00        0.00        0.01        0.00        0.00        0.01      343.66
