        Time       Press        Temp          Rh         Alt       Speed         Dir        Batt       PTemp         Dew          SH          MR          Et       Ozone      O3Curr      O3Temp         AD1         AD2         AD3         AD4         AD5         AD6
2025-11-04 00:55:14      870.79       18.80       27.60     1314.00        1.20      341.00        7.20       30.60       -0.20        0.81        4.31     5297.90        0.00        0.00        0.00        0.01        0.01        0.01        0.01        0.01        0.01
2025-11-04 00:55:15      870.39       19.30       28.10     1318.00        1.20      342.00        7.20       31.10        0.40        0.82        4.53     5298.90        0.00        0.00        0.00        0.01        0.01        0.01        0.01        0.01        0.01
2025-11-04 00:55:16      870.29       19.30       28.10     1319.00        1.20      352.00        7.20       31.20        0.50        0.82        4.55     5299.90        0.00        0.00        0.00        0.01        0.01        0.01        0.01        0.01        0.01
2025-11-04 00:55:17      870.36       19.10       27.30     1318.00        1.10      357.00        7.20       31.00       -0.10        0.81        4.37     5300.90        0.00        0.00        0.00        0.01        0.01        0.01        0.01        0.01        0.01
2025-11-04 00:55:18      870.53       19.10       27.30     1316.00        1.00      357.00        7.20       30.90       -0.10        0.81        4.34     5301.90        0.00        0.00        0.00        0.01        0.01        0.01        0.01        0.01        0.01
2025-11-04 00:55:19      870.43       19.40       27.90     1317.00        0.90      357.00        7.20       31.30        0.40        0.82        4.54     5302.90        0.00        0.00        0.00        0.01        0.01        0.01        0.01        0.01        0.01
2025-11-04 00:55:20      870.39       18.80       26.80     1318.00        0.90      358.00        7.20       30.70       -0.60        0.81        4.18     5303.90        0.00        0.00        0.00        0.01        0.01        0.01        0.01        0.01        0.01
2025-11-04 00:55:21      870.43       19.20       28.10     1317.00        0.80      357.00        7.20       31.10        0.40        0.82        4.52     5304.90        0.00        0.00        0.00        0.01        0.01        0.01        0.01        0.01        0.01
2025-11-04 00:55:24      870.54       19.50       27.70     1316.00        0.60      346.00        7.20       31.40        0.40        0.82        4.53     5307.90        0.00        0.00        0.00        0.01        0.01        0.01        0.01        0.01        0.01
2025-11-04 00:55:25      870.48       19.60       27.20     1317.00        0.60      344.00        7.20       31.40        0.20        0.82        4.46     5308.90        0.00        0.00        0.00        0.01        0.01        0.01        0.01        0.01        0.01
2025-11-04 00:55:26      870.30       19.60       27.30     1319.00        0.60      340.00        7.20       31.50        0.30        0.82        4.49     5309.90        0.00        0.00        0.00        0.01        0.01        0.01        0.01        0.01        0.01
2025-11-04 00:55:28      870.31       19.50       26.80     1319.00        0.50      304.00        7.20       31.30       -0.10        0.81        4.38     5311.90        0.00        0.00        0.00        0.01        0.01        0.01        0.01        0.01        0.01
2025-11-04 00:55:35      870.47       19.30       26.40     1317.00       38.50      333.00        7.30       31.10       -0.50        0.81        4.23     5318.60        0.00        0.00        0.00        0.01        0.01        0.01        0.01        0.01        0.01
2025-11-04 00:55:37      870.60       19.20       26.30     1316.00        1.00      327.00        7.20       31.00       -0.50        0.81        4.21     5320.60        0.00        0.00        0.00        0.01        0.01        0.01        0.01        0.01        0.01
2025-11-04 00:55:38      870.46       19.90       26.70     1317.00        1.00      326.00        7.20       31.80        0.20        0.82        4.47     5321.60        0.00        0.00        0.00        0.01        0.01        0.01        0.01        0.01        0.01
2025-11-04 00:55:39      870.29       19.20       26.40     1319.00        0.90      317.00        7.20       31.10       -0.50        0.81        4.23     5322.60        0.00        0.00        0.00        0.01        0.01        0.01        0.01        0.01        0.01
2025-11-04 00:55:40      870.42       19.70       26.80     1318.00        0.80      323.00        7.20       31.60        0.10        0.82        4.44     5323.50        0.00        0.00        0.00        0.01        0.01        0.01        0.01        0.01        0.01
2025-11-04 00:55:41      870.57       20.10       27.50     1316.00        0.80      337.00        7.20       32.00        0.80        0.82        4.67     5324.50        0.00        0.00        0.00        0.01        0.01        0.01        0.01        0.01        0.01
2025-11-04 00:55:42      870.64       19.80       26.40     1315.00        0.70      345.00        7.20       31.70        0.10        0.82        4.41     5325.50        0.00        0.00        0.00        0.01        0.01        0.01        0.01        0.01        0.01
2025-11-04 00:55:43      870.42       19.80       27.20     1317.00        0.70      348.00        7.20       31.70        0.40        0.82        4.54     5326.50        0.00        0.00        0.00        0.01        0.01        0.01        0.01        0.01        0.01
2025-11-04 00:55:44      870.69       19.80       26.70     1315.00        0.70      349.00        7.20       31.60        0.10        0.82        4.43     5327.50        0.00        0.00        0.00        0.01        0.01        0.01        0.01        0.01        0.01
2025-11-04 00:55:47      870.72       18.80       25.50     1315.00        0.60      340.00        7.20       30.60       -1.30        0.80        3.94     5330.50        0.00        0.00        0.00        0.01        0.01        0.01        0.01        0.01        0.01
2025-11-04 00:55:48      870.46       18.90       25.50     1317.00        0.60      337.00        7.20       30.70       -1.30        0.80        3.95     5331.50        0.00        0.00        0.00        0.01        0.01        0.01        0.01        0.01        0.01
2025-11-04 00:55:49      870.29       19.40       26.40     1319.00        0.60      329.00        7.20       31.20       -0.40        0.81        4.27     5332.50        0.00        0.00        0.00        0.01        0.01        0.01        0.01        0.01        0.01
2025-11-04 00:55:50      870.43       18.90       25.60     1317.00        0.70      316.00        7.20       30.70       -1.20        0.80        3.96     5333.50        0.00        0.00        0.00        0.01        0.01        0.01        0.01        0.01        0.01
2025-11-04 00:55:54      870.17       18.80       26.10     1320.00        0.80      267.00        7.20       30.60       -1.00        0.80        4.03     5337.50        0.00        0.00        0.00        0.01        0.01        0.01        0.01        0.01        0.01
2025-11-04 00:55:55      869.82       18.60       25.90     1323.00        0.80      297.00        7.20       30.40       -1.30        0.80        3.94     5338.50        0.00        0.00        0.00        0.01        0.01        0.01        0.01        0.01        0.01
2025-11-04 00:55:56      870.16       18.30       25.60     1320.00        0.80      295.00        7.20       30.10       -1.70        0.79        3.81     5339.50        0.00        0.00        0.00        0.01        0.01        0.01        0.01        0.01        0.01
2025-11-04 00:55:58      869.70       18.70       25.80     1325.00        0.90      305.00        7.20       30.50       -1.30        0.80        3.95     5341.50        0.00        0.00        0.00        0.01        0.01        0.01        0.01        0.01        0.01
2025-11-04 00:55:59      869.67       18.80       26.20     1325.00        1.00      309.00        7.20       30.60       -1.00        0.80        4.04     5342.50        0.00        0.00        0.00        0.01        0.01        0.01        0.01        0.01        0.01
2025-11-04 00:56:00      869.87       19.00       26.20     1323.00        1.10      317.00        7.20       30.90       -0.70        0.81        4.13     5343.50        0.00        0.00        0.00        0.01        0.01        0.01        0.01        0.01        0.01
2025-11-04 00:56:01      869.76       18.30       26.00     1324.00        1.20      315.00        7.20       30.20       -1.40        0.80        3.90     5344.50        0.00        0.00        0.00        0.01        0.01        0.01        0.01        0.01        0.01
2025-11-04 00:56:02      869.79       18.00       25.90     1324.00        1.20      272.00        7.20       29.80       -1.80        0.79        3.78     5345.50        0.00        0.00        0.00        0.01        0.01        0.01        0.01        0.01        0.01
2025-11-04 00:56:03      870.00       18.30       26.20     1322.00        1.40      253.00        7.20       30.10       -1.40        0.80        3.92     5346.50        0.00        0.00        0.00        0.01        0.01        0.01        0.01        0.01        0.01
2025-11-04 00:56:04      869.58       18.30       26.40     1326.00        1.50      256.00        7.20       30.20       -1.30        0.80        3.96     5347.50        0.00        0.00        0.00        0.01        0.01        0.01        0.01        0.01        0.01
2025-11-04 00:56:06      869.32       18.30       26.60     1328.00        1.70      248.00        7.20       30.20       -1.10        0.80        4.01     5349.50        0.00        0.00        0.00        0.01        0.01        0.01        0.01        0.01        0.01
2025-11-04 00:56:07      869.64       18.20       26.80     1325.00        1.70      247.00        7.20       30.10       -1.20        0.80        4.00     5350.50        0.00        0.00        0.00        0.01        0.01        0.01        0.01        0.01        0.01
2025-11-04 00:56:08      869.45       18.20       27.00     1327.00        1.70      273.00        7.20       30.10       -1.00        0.80        4.04     5351.50        0.00        0.00        0.00        0.01        0.01        0.01        0.01        0.01        0.01
2025-11-04 00:56:09      869.20       18.10       27.00     1330.00        1.70      280.00        7.20       30.00       -1.20        0.80        4.00     5352.50        0.00        0.00        0.00        0.01        0.01        0.01        0.01        0.01        0.01
2025-11-04 00:56:10      869.11       18.10       27.10     1330.00        1.60      310.00        7.20       30.00       -1.10        0.80        4.01     5353.50        0.00        0.00        0.00        0.01        0.01        0.01        0.01        0.01        0.01
2025-11-04 00:56:11      869.09       18.10       27.10     1331.00        1.40      331.00        7.20       30.00       -1.10        0.80        4.02     5354.50        0.00        0.00        0.00        0.01        0.01        0.01        0.01        0.01        0.01
2025-11-04 00:56:13      868.98       18.20       27.00     1332.00        1.20      321.00        7.20       30.20       -1.10        0.80        4.03     5356.50        0.00        0.00        0.00        0.01        0.01        0.01        0.01        0.01        0.01
2025-11-04 00:56:14      868.88       18.10       27.10     1333.00        1.20      315.00        7.20       30.10       -1.10        0.80        4.04     5357.50        0.00        0.00        0.00        0.01        0.01        0.01        0.01        0.01        0.01
2025-11-04 00:56:18      868.67       18.20       27.90     1335.00        1.40      287.00        7.20       30.20       -0.60        0.81        4.18     5361.50        0.00        0.00        0.00        0.01        0.01        0.01        0.01        0.01        0.01
2025-11-04 00:56:19      868.53       18.20       27.90     1336.00        1.40      276.00        7.20       30.10       -0.70        0.81        4.16     5362.50        0.00        0.00        0.00        0.01        0.01        0.01        0.01        0.01        0.01
2025-11-04 00:56:20      868.31       18.30       28.10     1338.00        1.50      260.00        7.20       30.30       -0.50        0.81        4.24     5363.50        0.00        0.00        0.00        0.01        0.01        0.01        0.01        0.01        0.01
2025-11-04 00:56:21      868.66       18.20       28.10     1335.00        1.60      268.00        7.20       30.10       -0.50        0.81        4.21     5364.50        0.00        0.00        0.00        0.01        0.01        0.01        0.01        0.01        0.01
2025-11-04 00:56:22      868.35       18.00       28.20     1338.00        1.70      279.00        7.20       29.90       -0.70        0.81        4.16     5365.50        0.00        0.00        0.00        0.01        0.01        0.01        0.01        0.01        0.01
2025-11-04 00:56:23      868.40       18.20       28.20     1337.00        1.70      270.00        7.20       30.20       -0.50        0.81        4.24     5366.50        0.00        0.00        0.00        0.01        0.01        0.01        0.01        0.01        0.01
2025-11-04 00:56:24      868.39       18.30       28.30     1337.00        1.70      291.00        7.20       30.30       -0.30        0.81        4.28     5367.50        0.00        0.00        0.00        0.01        0.01        0.01        0.01        0.01        0.01
2025-11-04 00:56:25      868.36       18.20       28.30     1338.00        1.70      284.00        7.20       30.20       -0.40        0.81        4.25     5368.50        0.00        0.00        0.00        0.01        0.01        0.01        0.01        0.01        0.01
2025-11-04 00:56:26      868.24       18.20       28.50     1339.00        1.70      249.00        7.20       30.20       -0.30        0.81        4.28     5369.50        0.00        0.00        0.00        0.01        0.01        0.01        0.01        0.01        0.01
2025-11-04 00:56:28      868.25       18.30       28.70     1339.00        1.60      294.00        7.20       30.30       -0.10        0.81        4.35     5371.50        0.00        0.00        0.00        0.01        0.01        0.01        0.01        0.01        0.01
2025-11-04 00:56:29      867.92       18.40       28.70     1342.00        1.60      318.00        7.20       30.50       -0.00        0.81        4.40     5372.50        0.00        0.00        0.00        0.01        0.01        0.01        0.01        0.01        0.01
2025-11-04 00:56:30      868.04       18.30       28.80     1341.00        1.70      333.00        7.20       30.30       -0.10        0.81        4.39     5373.50        0.00        0.00        0.00        0.01        0.01        0.01        0.01        0.01        0.01
2025-11-04 00:56:31      868.18       18.50       28.80     1340.00        1.80      322.00        7.20       30.50        0.10        0.82        4.43     5374.50        0.00        0.00        0.00        0.01        0.01        0.01        0.01        0.01        0.01
2025-11-04 00:56:32      867.83       18.40       28.90     1343.00        1.80      320.00        7.20       30.50        0.10        0.82        4.43     5375.50        0.00        0.00        0.00        0.01        0.01        0.01        0.01        0.01        0.01
2025-11-04 00:56:33      867.73       18.40       28.60     1344.00        1.90      329.00        7.20       30.50       -0.10        0.81        4.38     5376.50        0.00        0.00        0.00        0.01        0.01        0.01        0.01        0.01        0.01
2025-11-04 00:56:34      867.53       18.20       28.30     1346.00        2.10      293.00        7.20       30.20       -0.40        0.81        4.26     5377.50        0.00        0.00        0.00        0.01        0.01        0.01        0.01        0.01        0.01
2025-11-04 00:56:35      867.67       18.20       28.50     1345.00        2.50      341.00        7.20       30.20       -0.40        0.81        4.28     5378.50        0.00        0.00        0.00        0.01        0.01        0.01        0.01        0.01        0.01
2025-11-04 00:56:37      867.57       18.20       28.30     1346.00        2.20      312.00        7.20       30.30       -0.40        0.81        4.25     5380.50        0.00        0.00        0.00        0.01        0.01        0.01        0.01        0.01        0.01
2025-11-04 00:56:38      867.69       18.10       28.20     1344.00        2.40      310.00        7.20       30.20       -0.60        0.81        4.21     5381.50        0.00        0.00        0.00        0.01        0.01        0.01        0.01        0.01        0.01
2025-11-04 00:56:42      867.17       18.30       29.10     1349.00        2.40      284.00        7.20       30.40        0.10        0.82        4.43     5385.50        0.00        0.00        0.00        0.01        0.01        0.01        0.01        0.01        0.01
2025-11-04 00:56:43      867.25       18.20       28.70     1349.00        2.70      293.00        7.20       30.30       -0.20        0.81        4.33     5386.50        0.00        0.00        0.00        0.01        0.01        0.01        0.01        0.01        0.01
2025-11-04 00:56:44      867.35       18.20       28.80     1348.00        2.70      311.00        7.20       30.30       -0.20        0.81        4.35     5387.50        0.00        0.00        0.00        0.01        0.01        0.01        0.01        0.01        0.01
2025-11-04 00:56:45      867.10       18.20       28.80     1350.00        2.60      303.00        7.20       30.30       -0.20        0.81        4.35     5388.50        0.00        0.00        0.00        0.01        0.01        0.01        0.01        0.01        0.01
2025-11-04 00:56:48      866.81       17.90       28.90     1353.00        2.20      259.00        7.20       30.10       -0.40        0.81        4.28     5391.50        0.00        0.00        0.00        0.01        0.01        0.01        0.01        0.01        0.01
2025-11-04 00:56:49      866.87       17.80       28.60     1352.00        2.30      246.00        7.20       29.90       -0.60        0.81        4.19     5392.50        0.00        0.00        0.00        0.01        0.01        0.01        0.01        0.01        0.01
